date,without_mirrors,with_mirrors
2026-02-12,84,249
2026-02-13,4,32
2026-02-14,80,271
2026-02-15,11,31
2026-02-16,7,26
2026-02-17,270,805
2026-02-18,175,617
2026-02-19,100,279
2026-02-20,19,57
2026-02-21,86,252
2026-02-22,105,305
2026-02-23,18,89
2026-02-24,104,361
2026-02-25,3,44
2026-02-26,24,85
2026-02-27,37,105
2026-02-28,6,50
2026-03-01,1,25
2026-03-02,20,50
2026-03-03,4,36
2026-03-04,11,49
2026-03-05,3,27
2026-03-06,,75
2026-03-07,3,37
2026-03-08,,4
2026-03-09,52,56
2026-03-10,20,48
2026-03-11,12,62
2026-03-12,,24
2026-03-13,1,26
2026-03-14,1,19
2026-03-15,,10
2026-03-16,,26
2026-03-17,12,37
2026-03-18,,6
2026-03-19,2,8
2026-03-20,,2
2026-03-21,,24
2026-03-22,,2
2026-03-23,,72
2026-03-25,24,30
2026-03-26,1,3
2026-03-27,1,28
2026-03-29,,6
2026-03-30,4,10
2026-04-01,2,5
2026-04-02,,12
2026-04-03,,3
2026-04-04,2,26
2026-04-05,4,10
2026-04-06,5,53
2026-04-07,11,11
2026-04-08,9,33
2026-04-09,5,5
2026-04-10,4,4
2026-04-11,3,3
2026-04-12,3,31
2026-04-13,8,32
2026-04-14,,2
2026-04-15,3,27
2026-04-16,3,27
2026-04-19,4,63
2026-04-20,2,73
2026-04-21,4,32
2026-04-22,1,13
2026-04-23,1,35
2026-04-24,2,2
2026-04-25,,48
2026-04-26,1,2
2026-04-27,3,3
2026-04-28,4,9
2026-04-29,1,1
2026-05-01,,12
2026-05-02,2,3
2026-05-03,,12
2026-05-05,12,13
2026-05-06,24,53
2026-05-07,,6
2026-05-09,,16
2026-05-10,26,39
2026-05-13,,25
2026-05-14,2,9
2026-05-15,9,11
2026-05-16,3,7
2026-05-17,1,1
2026-05-18,1,1
2026-05-19,24,24
2026-05-20,,6
2026-05-21,,10
2026-05-22,12,16
2026-05-23,,24
2026-05-24,98,337
2026-05-25,5,41
2026-05-26,2,22
2026-05-27,6,22
2026-05-28,2,3
2026-05-29,27,31
2026-05-30,,5
2026-05-31,1,3
2026-06-01,78,237
2026-06-02,123,324
2026-06-03,63,138
2026-06-04,41,85
2026-06-05,198,539
2026-06-06,45,160
2026-06-07,7,138
2026-06-08,2,104
2026-06-09,2,56
2026-06-10,5,32
2026-06-11,19,72
2026-06-12,5,16
2026-06-13,8,26
2026-06-14,8,8
2026-06-15,7,8
2026-06-16,9,13
2026-06-17,78,206
2026-06-18,73,588
2026-06-19,24,67
2026-06-20,14,89
2026-06-21,21,61
2026-06-22,2,19
2026-06-23,6,13
2026-06-24,2,10
2026-06-25,,13
2026-06-26,101,287
2026-06-27,39,95
2026-06-28,4,18
2026-06-29,2,15
2026-06-30,3,50
2026-07-01,1,17
2026-07-02,4,19
2026-07-03,139,430
2026-07-04,5,71
2026-07-05,6,87
2026-07-06,1,3
2026-07-07,11,60
2026-07-08,4,40
2026-07-09,10,33
2026-07-10,4,52
2026-07-11,,3
2026-07-12,1,7
2026-07-13,2,20
2026-07-14,1,10
2026-07-15,6,7
2026-07-16,4,95
2026-07-17,93,277
2026-07-18,3,48
2026-07-19,4,91
2026-07-20,8,28
2026-07-21,3,9
2026-07-22,126,273
2026-07-23,12,41
2026-07-24,12,76
2026-07-25,13,15
2026-07-26,6,10
2026-07-27,2,57
2026-07-28,4,20
2026-07-29,,2
2026-07-30,12,12
2026-07-31,2,50
2026-08-02,1,33
2026-08-03,,78
2026-08-04,1,13
2026-08-05,,30
2026-08-06,9,28
2026-08-07,,37
2026-08-08,1,10
2026-08-09,10,30
2026-08-10,,75
2026-08-11,1,2
2026-08-12,1,6
2026-08-14,1,71
2026-08-15,3,3
2026-08-17,,8
2026-08-18,5,5
