=== SCPN Fusion Core — Neural Transport Training (QLKNN-10D) ===
Data:    data/qlknn10d_processed
Output:  weights/neural_transport_qlknn.npz
Arch:    auto -> 512 -> 512 -> 256 -> 3
Epochs:  1000
LR:      0.0001
Batch:   8192

Data is GB-normalized (raw gyro-Bohm fluxes, no chi_gb multiplication)
Added derived features: ITG excess, TEM excess -> 12D input

Data loaded: train=(172078, 12), val=(9559, 12), test=(9561, 12)
Y ranges: chi_e=[0.00, 418.90], chi_i=[0.00, 800.28], D_e=[0.00, 78.82]

Training on GB-normalized targets (loss in GB space, eval in physical space)
Y train ranges: [0.000, 418.899], [0.000, 800.280], [0.000, 78.819]

--- Training ---
JAX backend: GPU (cuda:0)
  Output scale (P90): [43.28553925 73.99241409  6.39538984]
  Output bias init: [-1.93430629 -2.00742466 -2.06289151] (target mean: [5.84308292 9.32643735 0.76511574])
  Epoch    0/1000 | train_loss=250.1983 | val_loss=224.8061 | rel_l2=1.0108 | best=1.0108 | lr=1.00e-05 | pat=0/100 | 6s
  Epoch    1/1000 | train_loss=209.0030 | val_loss=180.8070 | rel_l2=0.9053 | best=0.9053 | lr=2.00e-05 | pat=0/100 | 6s
  Epoch    2/1000 | train_loss=154.2154 | val_loss=133.0146 | rel_l2=0.7633 | best=0.7633 | lr=3.00e-05 | pat=0/100 | 6s
  Epoch    3/1000 | train_loss=120.9750 | val_loss=108.0992 | rel_l2=0.6717 | best=0.6717 | lr=4.00e-05 | pat=0/100 | 6s
  Epoch    4/1000 | train_loss=104.2757 | val_loss=93.9728 | rel_l2=0.6297 | best=0.6297 | lr=5.00e-05 | pat=0/100 | 7s
  Epoch    5/1000 | train_loss=93.0712 | val_loss=84.0857 | rel_l2=0.5995 | best=0.5995 | lr=6.00e-05 | pat=0/100 | 7s
  Epoch    6/1000 | train_loss=84.8339 | val_loss=76.9065 | rel_l2=0.5819 | best=0.5819 | lr=7.00e-05 | pat=0/100 | 7s
  Epoch    7/1000 | train_loss=78.0498 | val_loss=71.8908 | rel_l2=0.5624 | best=0.5624 | lr=8.00e-05 | pat=0/100 | 8s
  Epoch    8/1000 | train_loss=73.4259 | val_loss=68.6556 | rel_l2=0.5553 | best=0.5553 | lr=9.00e-05 | pat=0/100 | 8s
  Epoch    9/1000 | train_loss=69.1498 | val_loss=64.4006 | rel_l2=0.5347 | best=0.5347 | lr=1.00e-04 | pat=0/100 | 8s
  Epoch   10/1000 | train_loss=65.7653 | val_loss=61.0592 | rel_l2=0.5130 | best=0.5130 | lr=1.00e-04 | pat=0/100 | 9s
  Epoch   11/1000 | train_loss=63.1563 | val_loss=60.6487 | rel_l2=0.5144 | best=0.5130 | lr=1.00e-04 | pat=1/100 | 9s
  Epoch   12/1000 | train_loss=61.2077 | val_loss=58.3538 | rel_l2=0.5116 | best=0.5116 | lr=1.00e-04 | pat=0/100 | 9s
