=== SCPN Fusion Core — Neural Transport Training (QLKNN-10D) ===
Data:    /workspace/scpn-fusion-core/data/qlknn10d_processed
Output:  /workspace/scpn-fusion-core/weights/neural_transport_qlknn.npz
Arch:    auto -> 1024 -> 512 -> 256 -> 3
Epochs:  1000
LR:      0.0003
Batch:   8192

Data is GB-normalized (raw gyro-Bohm fluxes, no chi_gb multiplication)
Added derived features: ITG excess, TEM excess -> 14D input
  Base input includes Ti_Te (col 10) and Nustar (col 11)

Data loaded: train=(8999959, 14), val=(499997, 14), test=(499999, 14)
Y ranges: chi_e=[0.00, 498.56], chi_i=[0.00, 1058.84], D_e=[0.00, 88.38]

Training on GB-normalized targets (loss in GB space, eval in physical space)
Y train ranges: [0.000, 498.563], [0.000, 1058.839], [0.000, 88.383]

--- Training ---
JAX backend: GPU (cuda:0)
  Output scale (P90): [43.0489933  72.51943665  7.25205994]
  Output bias init: [-1.85643334 -2.03539171 -2.41128238] (target mean: [6.24915201 8.90352912 0.62297083])
  Epoch    0/1000 | train_loss=91.6686 | val_loss=57.6562 | rel_l2=0.3661 | best=0.3661 | lr=3.00e-05 | pat=0/200 | 21s
  Epoch    1/1000 | train_loss=43.0921 | val_loss=32.1264 | rel_l2=0.2683 | best=0.2683 | lr=6.00e-05 | pat=0/200 | 36s
  Epoch    2/1000 | train_loss=27.1771 | val_loss=23.7772 | rel_l2=0.2280 | best=0.2280 | lr=9.00e-05 | pat=0/200 | 51s
  Epoch    3/1000 | train_loss=21.0767 | val_loss=19.6223 | rel_l2=0.2073 | best=0.2073 | lr=1.20e-04 | pat=0/200 | 66s
  Epoch    4/1000 | train_loss=17.7573 | val_loss=17.8606 | rel_l2=0.2012 | best=0.2012 | lr=1.50e-04 | pat=0/200 | 81s
  Epoch    5/1000 | train_loss=15.3881 | val_loss=16.1083 | rel_l2=0.1931 | best=0.1931 | lr=1.80e-04 | pat=0/200 | 96s
  Epoch    6/1000 | train_loss=13.6513 | val_loss=14.3183 | rel_l2=0.1838 | best=0.1838 | lr=2.10e-04 | pat=0/200 | 111s
  Epoch    7/1000 | train_loss=12.1205 | val_loss=12.2164 | rel_l2=0.1707 | best=0.1707 | lr=2.40e-04 | pat=0/200 | 126s
  Epoch    8/1000 | train_loss=10.9301 | val_loss=11.4920 | rel_l2=0.1647 | best=0.1647 | lr=2.70e-04 | pat=0/200 | 141s
  Epoch    9/1000 | train_loss=9.9551 | val_loss=10.7315 | rel_l2=0.1684 | best=0.1647 | lr=3.00e-04 | pat=1/200 | 156s
  Epoch   10/1000 | train_loss=9.1400 | val_loss=9.2258 | rel_l2=0.1526 | best=0.1526 | lr=3.00e-04 | pat=0/200 | 171s
  Epoch   11/1000 | train_loss=8.4930 | val_loss=9.0249 | rel_l2=0.1447 | best=0.1447 | lr=3.00e-04 | pat=0/200 | 187s
  Epoch   12/1000 | train_loss=7.9941 | val_loss=9.4861 | rel_l2=0.1503 | best=0.1447 | lr=3.00e-04 | pat=1/200 | 202s
  Epoch   13/1000 | train_loss=7.6457 | val_loss=8.7400 | rel_l2=0.1559 | best=0.1447 | lr=3.00e-04 | pat=2/200 | 217s
  Epoch   14/1000 | train_loss=7.2973 | val_loss=7.7490 | rel_l2=0.1339 | best=0.1339 | lr=3.00e-04 | pat=0/200 | 232s
  Epoch   15/1000 | train_loss=7.0264 | val_loss=7.7635 | rel_l2=0.1450 | best=0.1339 | lr=3.00e-04 | pat=1/200 | 246s
  Epoch   16/1000 | train_loss=6.7278 | val_loss=7.3269 | rel_l2=0.1425 | best=0.1339 | lr=3.00e-04 | pat=2/200 | 262s
  Epoch   17/1000 | train_loss=6.5575 | val_loss=8.9698 | rel_l2=0.1431 | best=0.1339 | lr=3.00e-04 | pat=3/200 | 277s
  Epoch   18/1000 | train_loss=6.3541 | val_loss=7.1683 | rel_l2=0.1397 | best=0.1339 | lr=3.00e-04 | pat=4/200 | 292s
  Epoch   19/1000 | train_loss=6.2087 | val_loss=7.1510 | rel_l2=0.1276 | best=0.1276 | lr=3.00e-04 | pat=0/200 | 307s
  Epoch   20/1000 | train_loss=6.0143 | val_loss=6.7690 | rel_l2=0.1343 | best=0.1276 | lr=3.00e-04 | pat=1/200 | 322s
