=== SCPN Fusion Core — Neural Transport Training (QLKNN-10D) ===
Data:    /workspace/scpn-fusion-core/data/qlknn10d_processed
Output:  /workspace/scpn-fusion-core/weights/neural_transport_qlknn.npz
Arch:    auto -> 512 -> 256 -> 128 -> 3
Epochs:  1000
LR:      0.0003
Batch:   8192

Data is GB-normalized (raw gyro-Bohm fluxes, no chi_gb multiplication)
Added derived features: ITG excess, TEM excess -> 14D input
  Base input includes Ti_Te (col 10) and Nustar (col 11)

Data loaded: train=(8999959, 14), val=(499997, 14), test=(499999, 14)
Y ranges: chi_e=[0.00, 498.56], chi_i=[0.00, 1058.84], D_e=[0.00, 88.38]

Training on GB-normalized targets (loss in GB space, eval in physical space)
Y train ranges: [0.000, 498.563], [0.000, 1058.839], [0.000, 88.383]

--- Training ---
JAX backend: GPU (cuda:0)
  Output scale (P90): [43.0489933  72.51943665  7.25205994]
  Output bias init: [-1.85643334 -2.03539171 -2.41128238] (target mean: [6.24915201 8.90352912 0.62297083])
  Channel-balanced MSE: inv_scale^2 = [0.0005396  0.00019015 0.01901416]
  Epoch    0/1000 | train_loss=0.0636 | val_loss=0.0371 | rel_l2=0.4615 | best=0.4615 | lr=3.00e-05 | pat=0/200 | 19s
  Epoch    1/1000 | train_loss=0.0293 | val_loss=0.0236 | rel_l2=0.3641 | best=0.3641 | lr=6.00e-05 | pat=0/200 | 33s
  Epoch    2/1000 | train_loss=0.0198 | val_loss=0.0163 | rel_l2=0.2857 | best=0.2857 | lr=9.00e-05 | pat=0/200 | 47s
  Epoch    3/1000 | train_loss=0.0144 | val_loss=0.0128 | rel_l2=0.2514 | best=0.2514 | lr=1.20e-04 | pat=0/200 | 61s
  Epoch    4/1000 | train_loss=0.0117 | val_loss=0.0106 | rel_l2=0.2223 | best=0.2223 | lr=1.50e-04 | pat=0/200 | 74s
  Epoch    5/1000 | train_loss=0.0102 | val_loss=0.0096 | rel_l2=0.2106 | best=0.2106 | lr=1.80e-04 | pat=0/200 | 88s
  Epoch    6/1000 | train_loss=0.0092 | val_loss=0.0086 | rel_l2=0.1925 | best=0.1925 | lr=2.10e-04 | pat=0/200 | 101s
  Epoch    7/1000 | train_loss=0.0084 | val_loss=0.0081 | rel_l2=0.1855 | best=0.1855 | lr=2.40e-04 | pat=0/200 | 114s
  Epoch    8/1000 | train_loss=0.0079 | val_loss=0.0078 | rel_l2=0.1794 | best=0.1794 | lr=2.70e-04 | pat=0/200 | 128s
  Epoch    9/1000 | train_loss=0.0074 | val_loss=0.0074 | rel_l2=0.1828 | best=0.1794 | lr=3.00e-04 | pat=1/200 | 142s
  Epoch   10/1000 | train_loss=0.0070 | val_loss=0.0070 | rel_l2=0.1719 | best=0.1719 | lr=3.00e-04 | pat=0/200 | 156s
  Epoch   11/1000 | train_loss=0.0066 | val_loss=0.0066 | rel_l2=0.1629 | best=0.1629 | lr=3.00e-04 | pat=0/200 | 169s
  Epoch   12/1000 | train_loss=0.0063 | val_loss=0.0066 | rel_l2=0.1617 | best=0.1617 | lr=3.00e-04 | pat=0/200 | 183s
  Epoch   13/1000 | train_loss=0.0061 | val_loss=0.0063 | rel_l2=0.1539 | best=0.1539 | lr=3.00e-04 | pat=0/200 | 196s
  Epoch   14/1000 | train_loss=0.0059 | val_loss=0.0061 | rel_l2=0.1532 | best=0.1532 | lr=3.00e-04 | pat=0/200 | 210s
  Epoch   15/1000 | train_loss=0.0057 | val_loss=0.0058 | rel_l2=0.1528 | best=0.1528 | lr=3.00e-04 | pat=0/200 | 223s
  Epoch   16/1000 | train_loss=0.0055 | val_loss=0.0059 | rel_l2=0.1540 | best=0.1528 | lr=3.00e-04 | pat=1/200 | 237s
  Epoch   17/1000 | train_loss=0.0053 | val_loss=0.0057 | rel_l2=0.1506 | best=0.1506 | lr=3.00e-04 | pat=0/200 | 250s
  Epoch   18/1000 | train_loss=0.0052 | val_loss=0.0056 | rel_l2=0.1482 | best=0.1482 | lr=3.00e-04 | pat=0/200 | 263s
  Epoch   19/1000 | train_loss=0.0051 | val_loss=0.0052 | rel_l2=0.1423 | best=0.1423 | lr=3.00e-04 | pat=0/200 | 277s
  Epoch   20/1000 | train_loss=0.0050 | val_loss=0.0053 | rel_l2=0.1466 | best=0.1423 | lr=3.00e-04 | pat=1/200 | 291s
  Epoch   21/1000 | train_loss=0.0049 | val_loss=0.0051 | rel_l2=0.1373 | best=0.1373 | lr=3.00e-04 | pat=0/200 | 305s
  Epoch   22/1000 | train_loss=0.0048 | val_loss=0.0049 | rel_l2=0.1344 | best=0.1344 | lr=3.00e-04 | pat=0/200 | 318s
  Epoch   23/1000 | train_loss=0.0047 | val_loss=0.0050 | rel_l2=0.1334 | best=0.1334 | lr=3.00e-04 | pat=0/200 | 332s
  Epoch   24/1000 | train_loss=0.0046 | val_loss=0.0048 | rel_l2=0.1322 | best=0.1322 | lr=3.00e-04 | pat=0/200 | 346s
  Epoch   25/1000 | train_loss=0.0046 | val_loss=0.0048 | rel_l2=0.1312 | best=0.1312 | lr=3.00e-04 | pat=0/200 | 360s
