=== SCPN Fusion Core — Neural Transport Training (QLKNN-10D) ===
Data:    data/qlknn10d_processed
Output:  weights/neural_transport_qlknn.npz
Arch:    auto -> 512 -> 512 -> 256 -> 3
Epochs:  1000
LR:      0.0001
Batch:   8192

Data is GB-normalized (raw gyro-Bohm fluxes, no chi_gb multiplication)
Added derived features: ITG excess, TEM excess -> 12D input

Data loaded: train=(179966, 12), val=(9998, 12), test=(9999, 12)
Y ranges: chi_e=[0.00, 418.90], chi_i=[0.00, 800.28], D_e=[0.00, 69.41]

Training on GB-normalized targets (loss in GB space, eval in physical space)
Y train ranges: [0.000, 418.899], [0.000, 800.280], [0.000, 69.411]

--- Training ---
JAX backend: GPU (cuda:0)
  Output scale (P90): [42.80950356 73.08514481  7.18222504]
  Output bias init: [-1.85946451 -2.03796686 -2.41203553] (target mean: [6.19687627 8.95126372 0.61652672])
  Epoch    0/1000 | train_loss=483.6495 | val_loss=453.9523 | rel_l2=0.9983 | best=0.9983 | lr=1.00e-05 | pat=0/100 | 5s
  Epoch    1/1000 | train_loss=407.5502 | val_loss=347.7349 | rel_l2=0.8972 | best=0.8972 | lr=2.00e-05 | pat=0/100 | 6s
  Epoch    2/1000 | train_loss=301.9826 | val_loss=253.3128 | rel_l2=0.7285 | best=0.7285 | lr=3.00e-05 | pat=0/100 | 6s
  Epoch    3/1000 | train_loss=235.2564 | val_loss=212.0396 | rel_l2=0.6410 | best=0.6410 | lr=4.00e-05 | pat=0/100 | 6s
  Epoch    4/1000 | train_loss=201.7073 | val_loss=186.5567 | rel_l2=0.6086 | best=0.6086 | lr=5.00e-05 | pat=0/100 | 6s
  Epoch    5/1000 | train_loss=178.8804 | val_loss=167.8480 | rel_l2=0.5832 | best=0.5832 | lr=6.00e-05 | pat=0/100 | 7s
  Epoch    6/1000 | train_loss=162.2009 | val_loss=155.9298 | rel_l2=0.5617 | best=0.5617 | lr=7.00e-05 | pat=0/100 | 7s
  Epoch    7/1000 | train_loss=150.2460 | val_loss=145.0348 | rel_l2=0.5347 | best=0.5347 | lr=8.00e-05 | pat=0/100 | 7s
  Epoch    8/1000 | train_loss=141.6391 | val_loss=138.9070 | rel_l2=0.5189 | best=0.5189 | lr=9.00e-05 | pat=0/100 | 8s
  Epoch    9/1000 | train_loss=133.3202 | val_loss=129.3827 | rel_l2=0.5027 | best=0.5027 | lr=1.00e-04 | pat=0/100 | 8s
  Epoch   10/1000 | train_loss=126.6254 | val_loss=122.9631 | rel_l2=0.4888 | best=0.4888 | lr=1.00e-04 | pat=0/100 | 8s
  Epoch   11/1000 | train_loss=123.1981 | val_loss=121.8729 | rel_l2=0.5080 | best=0.4888 | lr=1.00e-04 | pat=1/100 | 9s
  Epoch   12/1000 | train_loss=118.5978 | val_loss=120.0597 | rel_l2=0.5004 | best=0.4888 | lr=1.00e-04 | pat=2/100 | 9s
  Epoch   13/1000 | train_loss=115.6114 | val_loss=114.4920 | rel_l2=0.4735 | best=0.4735 | lr=1.00e-04 | pat=0/100 | 9s
  Epoch   14/1000 | train_loss=113.2619 | val_loss=111.4459 | rel_l2=0.4605 | best=0.4605 | lr=1.00e-04 | pat=0/100 | 9s
  Epoch   15/1000 | train_loss=111.5626 | val_loss=110.1128 | rel_l2=0.4605 | best=0.4605 | lr=1.00e-04 | pat=0/100 | 10s
  Epoch   16/1000 | train_loss=108.3891 | val_loss=108.7373 | rel_l2=0.4624 | best=0.4605 | lr=1.00e-04 | pat=1/100 | 10s
  Epoch   17/1000 | train_loss=107.7065 | val_loss=106.3986 | rel_l2=0.4498 | best=0.4498 | lr=1.00e-04 | pat=0/100 | 10s
  Epoch   18/1000 | train_loss=105.8278 | val_loss=105.3302 | rel_l2=0.4540 | best=0.4498 | lr=1.00e-04 | pat=1/100 | 10s
  Epoch   19/1000 | train_loss=103.1488 | val_loss=105.0469 | rel_l2=0.4551 | best=0.4498 | lr=1.00e-04 | pat=2/100 | 11s
  Epoch   20/1000 | train_loss=102.4908 | val_loss=103.2017 | rel_l2=0.4393 | best=0.4393 | lr=1.00e-04 | pat=0/100 | 11s
