=== SCPN Fusion Core — Neural Transport Training (QLKNN-10D) ===
Data:    data/qlknn10d_processed
Output:  weights/neural_transport_qlknn.npz
Arch:    auto -> 256 -> 128 -> 3
Epochs:  1000
LR:      0.0003
Batch:   8192

Data is GB-normalized (raw gyro-Bohm fluxes, no chi_gb multiplication)
Added derived features: ITG excess, TEM excess -> 12D input

Data loaded: train=(1801197, 12), val=(100066, 12), test=(100068, 12)
Y ranges: chi_e=[0.00, 498.56], chi_i=[0.00, 1006.12], D_e=[0.00, 80.36]

Training on GB-normalized targets (loss in GB space, eval in physical space)
Y train ranges: [0.000, 498.563], [0.000, 1006.115], [0.000, 80.355]

--- Training ---
JAX backend: GPU (cuda:0)
  Output scale (P90): [43.07545204 72.60898666  7.2507782 ]
  Output bias init: [-1.85671903 -2.03404507 -2.41275783] (target mean: [6.25133028 8.92582728 0.62198069])
  Epoch    0/1000 | train_loss=365.2577 | val_loss=247.0450 | rel_l2=0.7535 | best=0.7535 | lr=3.00e-05 | pat=0/150 | 7s
  Epoch    1/1000 | train_loss=215.4645 | val_loss=180.8141 | rel_l2=0.6217 | best=0.6217 | lr=6.00e-05 | pat=0/150 | 9s
  Epoch    2/1000 | train_loss=171.6449 | val_loss=149.0463 | rel_l2=0.5522 | best=0.5522 | lr=9.00e-05 | pat=0/150 | 11s
  Epoch    3/1000 | train_loss=145.8826 | val_loss=128.9894 | rel_l2=0.5055 | best=0.5055 | lr=1.20e-04 | pat=0/150 | 13s
  Epoch    4/1000 | train_loss=130.0151 | val_loss=117.6995 | rel_l2=0.4775 | best=0.4775 | lr=1.50e-04 | pat=0/150 | 15s
  Epoch    5/1000 | train_loss=120.2516 | val_loss=110.9685 | rel_l2=0.4589 | best=0.4589 | lr=1.80e-04 | pat=0/150 | 17s
  Epoch    6/1000 | train_loss=113.1670 | val_loss=104.4846 | rel_l2=0.4450 | best=0.4450 | lr=2.10e-04 | pat=0/150 | 19s
  Epoch    7/1000 | train_loss=107.3563 | val_loss=98.0991 | rel_l2=0.4306 | best=0.4306 | lr=2.40e-04 | pat=0/150 | 21s
  Epoch    8/1000 | train_loss=102.0536 | val_loss=93.7763 | rel_l2=0.4210 | best=0.4210 | lr=2.70e-04 | pat=0/150 | 23s
  Epoch    9/1000 | train_loss=96.7328 | val_loss=88.7555 | rel_l2=0.4121 | best=0.4121 | lr=3.00e-04 | pat=0/150 | 25s
  Epoch   10/1000 | train_loss=91.8179 | val_loss=87.0231 | rel_l2=0.4037 | best=0.4037 | lr=3.00e-04 | pat=0/150 | 28s
  Epoch   11/1000 | train_loss=87.6710 | val_loss=80.9018 | rel_l2=0.3909 | best=0.3909 | lr=3.00e-04 | pat=0/150 | 30s
  Epoch   12/1000 | train_loss=83.9870 | val_loss=77.7416 | rel_l2=0.3828 | best=0.3828 | lr=3.00e-04 | pat=0/150 | 32s
  Epoch   13/1000 | train_loss=81.1320 | val_loss=75.5758 | rel_l2=0.3786 | best=0.3786 | lr=3.00e-04 | pat=0/150 | 34s
  Epoch   14/1000 | train_loss=78.4811 | val_loss=72.3003 | rel_l2=0.3668 | best=0.3668 | lr=3.00e-04 | pat=0/150 | 36s
  Epoch   15/1000 | train_loss=76.4393 | val_loss=71.6060 | rel_l2=0.3616 | best=0.3616 | lr=3.00e-04 | pat=0/150 | 38s
  Epoch   16/1000 | train_loss=74.3941 | val_loss=69.1496 | rel_l2=0.3593 | best=0.3593 | lr=3.00e-04 | pat=0/150 | 40s
  Epoch   17/1000 | train_loss=72.6949 | val_loss=68.7811 | rel_l2=0.3535 | best=0.3535 | lr=3.00e-04 | pat=0/150 | 42s
  Epoch   18/1000 | train_loss=71.1561 | val_loss=66.0606 | rel_l2=0.3496 | best=0.3496 | lr=3.00e-04 | pat=0/150 | 44s
  Epoch   19/1000 | train_loss=69.9576 | val_loss=66.0965 | rel_l2=0.3494 | best=0.3494 | lr=3.00e-04 | pat=0/150 | 46s
  Epoch   20/1000 | train_loss=68.7116 | val_loss=65.2620 | rel_l2=0.3444 | best=0.3444 | lr=3.00e-04 | pat=0/150 | 48s
  Epoch   21/1000 | train_loss=67.6200 | val_loss=63.4857 | rel_l2=0.3421 | best=0.3421 | lr=3.00e-04 | pat=0/150 | 50s
  Epoch   22/1000 | train_loss=66.7419 | val_loss=63.2987 | rel_l2=0.3390 | best=0.3390 | lr=3.00e-04 | pat=0/150 | 52s
  Epoch   23/1000 | train_loss=65.8198 | val_loss=63.1070 | rel_l2=0.3390 | best=0.3390 | lr=3.00e-04 | pat=0/150 | 54s
  Epoch   24/1000 | train_loss=65.2363 | val_loss=62.3074 | rel_l2=0.3420 | best=0.3390 | lr=3.00e-04 | pat=1/150 | 56s
  Epoch   25/1000 | train_loss=64.4111 | val_loss=61.7886 | rel_l2=0.3360 | best=0.3360 | lr=3.00e-04 | pat=0/150 | 58s
