=== SCPN Fusion Core — Neural Transport Training (QLKNN-10D) ===
Data:    data/qlknn10d_processed
Output:  weights/neural_transport_qlknn.npz
Arch:    auto -> 256 -> 128 -> 3
Epochs:  1000
LR:      0.0003
Batch:   8192

Data is GB-normalized (raw gyro-Bohm fluxes, no chi_gb multiplication)
Added derived features: ITG excess, TEM excess -> 12D input

Data loaded: train=(1801197, 12), val=(100066, 12), test=(100068, 12)
Y ranges: chi_e=[0.00, 498.56], chi_i=[0.00, 1006.12], D_e=[0.00, 80.36]

Training on GB-normalized targets (loss in GB space, eval in physical space)
Y train ranges: [0.000, 498.563], [0.000, 1006.115], [0.000, 80.355]

--- Training ---
JAX backend: GPU (cuda:0)
  Output scale (P90): [43.07545204 72.60898666  7.2507782 ]
  Output bias init: flux=[-1.85671903 -2.03404507 -2.41275783], gate=-0.42 (flux fraction=0.40, target mean: [6.25133028 8.92582728 0.62198069])
  Epoch    0/1000 | train_loss=983.2079 | val_loss=608.6352 | rel_l2=0.8939 | best=0.8939 | lr=3.00e-05 | pat=0/150 | 7s
  Epoch    1/1000 | train_loss=499.2271 | val_loss=412.3793 | rel_l2=0.7482 | best=0.7482 | lr=6.00e-05 | pat=0/150 | 9s
  Epoch    2/1000 | train_loss=395.5128 | val_loss=347.2180 | rel_l2=0.6378 | best=0.6378 | lr=9.00e-05 | pat=0/150 | 11s
  Epoch    3/1000 | train_loss=344.0981 | val_loss=306.2390 | rel_l2=0.5630 | best=0.5630 | lr=1.20e-04 | pat=0/150 | 13s
  Epoch    4/1000 | train_loss=310.4515 | val_loss=280.3740 | rel_l2=0.5147 | best=0.5147 | lr=1.50e-04 | pat=0/150 | 15s
  Epoch    5/1000 | train_loss=288.8443 | val_loss=265.5254 | rel_l2=0.4873 | best=0.4873 | lr=1.80e-04 | pat=0/150 | 17s
  Epoch    6/1000 | train_loss=272.6010 | val_loss=251.8514 | rel_l2=0.4666 | best=0.4666 | lr=2.10e-04 | pat=0/150 | 19s
  Epoch    7/1000 | train_loss=258.8799 | val_loss=236.3593 | rel_l2=0.4485 | best=0.4485 | lr=2.40e-04 | pat=0/150 | 21s
  Epoch    8/1000 | train_loss=245.5134 | val_loss=224.1484 | rel_l2=0.4351 | best=0.4351 | lr=2.70e-04 | pat=0/150 | 24s
  Epoch    9/1000 | train_loss=231.6144 | val_loss=210.8419 | rel_l2=0.4234 | best=0.4234 | lr=3.00e-04 | pat=0/150 | 26s
  Epoch   10/1000 | train_loss=217.9352 | val_loss=203.3428 | rel_l2=0.4098 | best=0.4098 | lr=3.00e-04 | pat=0/150 | 28s
  Epoch   11/1000 | train_loss=205.8832 | val_loss=187.1551 | rel_l2=0.3954 | best=0.3954 | lr=3.00e-04 | pat=0/150 | 30s
  Epoch   12/1000 | train_loss=195.1274 | val_loss=179.9551 | rel_l2=0.3925 | best=0.3925 | lr=3.00e-04 | pat=0/150 | 32s
  Epoch   13/1000 | train_loss=187.2896 | val_loss=173.8380 | rel_l2=0.3853 | best=0.3853 | lr=3.00e-04 | pat=0/150 | 34s
  Epoch   14/1000 | train_loss=180.2988 | val_loss=166.7193 | rel_l2=0.3744 | best=0.3744 | lr=3.00e-04 | pat=0/150 | 36s
  Epoch   15/1000 | train_loss=175.0819 | val_loss=165.9560 | rel_l2=0.3684 | best=0.3684 | lr=3.00e-04 | pat=0/150 | 38s
  Epoch   16/1000 | train_loss=170.4323 | val_loss=158.5268 | rel_l2=0.3631 | best=0.3631 | lr=3.00e-04 | pat=0/150 | 40s
  Epoch   17/1000 | train_loss=166.2821 | val_loss=158.5540 | rel_l2=0.3610 | best=0.3610 | lr=3.00e-04 | pat=0/150 | 42s
  Epoch   18/1000 | train_loss=162.6938 | val_loss=152.3267 | rel_l2=0.3575 | best=0.3575 | lr=3.00e-04 | pat=0/150 | 44s
  Epoch   19/1000 | train_loss=159.7825 | val_loss=151.5781 | rel_l2=0.3566 | best=0.3566 | lr=3.00e-04 | pat=0/150 | 46s
  Epoch   20/1000 | train_loss=157.0587 | val_loss=148.9711 | rel_l2=0.3510 | best=0.3510 | lr=3.00e-04 | pat=0/150 | 48s
  Epoch   21/1000 | train_loss=154.4380 | val_loss=146.8902 | rel_l2=0.3502 | best=0.3502 | lr=3.00e-04 | pat=0/150 | 51s
  Epoch   22/1000 | train_loss=152.2256 | val_loss=145.0219 | rel_l2=0.3444 | best=0.3444 | lr=3.00e-04 | pat=0/150 | 53s
  Epoch   23/1000 | train_loss=150.1364 | val_loss=145.3464 | rel_l2=0.3437 | best=0.3437 | lr=3.00e-04 | pat=0/150 | 55s
  Epoch   24/1000 | train_loss=148.7579 | val_loss=144.1700 | rel_l2=0.3505 | best=0.3437 | lr=3.00e-04 | pat=1/150 | 57s
  Epoch   25/1000 | train_loss=146.8615 | val_loss=141.9850 | rel_l2=0.3412 | best=0.3412 | lr=3.00e-04 | pat=0/150 | 59s
  Epoch   26/1000 | train_loss=145.6373 | val_loss=139.3909 | rel_l2=0.3395 | best=0.3395 | lr=3.00e-04 | pat=0/150 | 61s
  Epoch   27/1000 | train_loss=144.3675 | val_loss=141.4004 | rel_l2=0.3508 | best=0.3395 | lr=3.00e-04 | pat=1/150 | 63s
  Epoch   28/1000 | train_loss=143.3611 | val_loss=139.0638 | rel_l2=0.3404 | best=0.3395 | lr=3.00e-04 | pat=2/150 | 65s
  Epoch   29/1000 | train_loss=142.0144 | val_loss=137.9161 | rel_l2=0.3374 | best=0.3374 | lr=3.00e-04 | pat=0/150 | 67s
  Epoch   30/1000 | train_loss=141.4736 | val_loss=137.8124 | rel_l2=0.3374 | best=0.3374 | lr=3.00e-04 | pat=0/150 | 69s
  Epoch   31/1000 | train_loss=140.0518 | val_loss=136.0369 | rel_l2=0.3399 | best=0.3374 | lr=3.00e-04 | pat=1/150 | 71s
  Epoch   32/1000 | train_loss=139.5845 | val_loss=135.6315 | rel_l2=0.3444 | best=0.3374 | lr=3.00e-04 | pat=2/150 | 73s
  Epoch   33/1000 | train_loss=138.3272 | val_loss=134.6668 | rel_l2=0.3336 | best=0.3336 | lr=3.00e-04 | pat=0/150 | 75s
  Epoch   34/1000 | train_loss=137.7692 | val_loss=135.4272 | rel_l2=0.3385 | best=0.3336 | lr=3.00e-04 | pat=1/150 | 77s
  Epoch   35/1000 | train_loss=137.0716 | val_loss=134.4285 | rel_l2=0.3382 | best=0.3336 | lr=3.00e-04 | pat=2/150 | 79s
  Epoch   36/1000 | train_loss=136.2393 | val_loss=133.4188 | rel_l2=0.3321 | best=0.3321 | lr=2.99e-04 | pat=0/150 | 81s
  Epoch   37/1000 | train_loss=135.7167 | val_loss=133.2838 | rel_l2=0.3316 | best=0.3316 | lr=2.99e-04 | pat=0/150 | 83s
