=== SCPN Fusion Core — Neural Transport Training (QLKNN-10D) ===
Data:    /workspace/scpn-fusion-core/data/qlknn10d_processed
Output:  /workspace/scpn-fusion-core/weights/neural_transport_qlknn.npz
Arch:    auto -> 256 -> 128 -> 3
Epochs:  1000
LR:      0.0003
Batch:   8192

Data is GB-normalized (raw gyro-Bohm fluxes, no chi_gb multiplication)
Added derived features: ITG excess, TEM excess -> 12D input

Data loaded: train=(8999959, 12), val=(499997, 12), test=(499999, 12)
Y ranges: chi_e=[0.00, 498.56], chi_i=[0.00, 1058.84], D_e=[0.00, 88.38]

Training on GB-normalized targets (loss in GB space, eval in physical space)
Y train ranges: [0.000, 498.563], [0.000, 1058.839], [0.000, 88.383]

Residual mode: stiff coefficients = [3.04690574 4.31609826 0.84760628]
  Baseline explains: chi_e=18.6%, chi_i=18.1%, D_e=12.0%
  Residual ranges: [-27.42, 471.14], [-43.16, 1015.68], [-3.39, 84.99]

--- Training ---
JAX backend: GPU (cuda:0)
  Output scale (std, residual): [15.73041203 29.3927765   2.56107174]
  Output bias init: [0. 0. 0.] (target mean: [ 0.78637858 -1.4359335   0.09300716])
  Epoch    0/1000 | train_loss=279.2404 | val_loss=196.6744 | rel_l2=0.6465 | best=0.6465 | lr=3.00e-05 | pat=0/200 | 17s
  Epoch    1/1000 | train_loss=176.0660 | val_loss=147.6672 | rel_l2=0.5530 | best=0.5530 | lr=6.00e-05 | pat=0/200 | 28s
  Epoch    2/1000 | train_loss=139.6081 | val_loss=121.5058 | rel_l2=0.4880 | best=0.4880 | lr=9.00e-05 | pat=0/200 | 39s
  Epoch    3/1000 | train_loss=118.5225 | val_loss=105.6992 | rel_l2=0.4499 | best=0.4499 | lr=1.20e-04 | pat=0/200 | 52s
  Epoch    4/1000 | train_loss=103.7527 | val_loss=93.7867 | rel_l2=0.4253 | best=0.4253 | lr=1.50e-04 | pat=0/200 | 62s
  Epoch    5/1000 | train_loss=92.6550 | val_loss=84.5443 | rel_l2=0.4046 | best=0.4046 | lr=1.80e-04 | pat=0/200 | 72s
  Epoch    6/1000 | train_loss=84.1873 | val_loss=77.3685 | rel_l2=0.3860 | best=0.3860 | lr=2.10e-04 | pat=0/200 | 85s
  Epoch    7/1000 | train_loss=77.7969 | val_loss=72.4263 | rel_l2=0.3739 | best=0.3739 | lr=2.40e-04 | pat=0/200 | 95s
  Epoch    8/1000 | train_loss=73.0118 | val_loss=68.8474 | rel_l2=0.3697 | best=0.3697 | lr=2.70e-04 | pat=0/200 | 105s
  Epoch    9/1000 | train_loss=69.3820 | val_loss=65.8001 | rel_l2=0.3548 | best=0.3548 | lr=3.00e-04 | pat=0/200 | 115s
  Epoch   10/1000 | train_loss=66.6425 | val_loss=64.0081 | rel_l2=0.3544 | best=0.3544 | lr=3.00e-04 | pat=0/200 | 128s
  Epoch   11/1000 | train_loss=64.6274 | val_loss=62.5999 | rel_l2=0.3538 | best=0.3538 | lr=3.00e-04 | pat=0/200 | 138s
  Epoch   12/1000 | train_loss=63.0913 | val_loss=61.0668 | rel_l2=0.3448 | best=0.3448 | lr=3.00e-04 | pat=0/200 | 148s
  Epoch   13/1000 | train_loss=61.8551 | val_loss=60.5804 | rel_l2=0.3463 | best=0.3448 | lr=3.00e-04 | pat=1/200 | 159s
  Epoch   14/1000 | train_loss=60.8163 | val_loss=59.5516 | rel_l2=0.3416 | best=0.3416 | lr=3.00e-04 | pat=0/200 | 172s
  Epoch   15/1000 | train_loss=59.9279 | val_loss=58.8252 | rel_l2=0.3397 | best=0.3397 | lr=3.00e-04 | pat=0/200 | 182s
