=== SCPN Fusion Core — Neural Transport Training (QLKNN-10D) ===
Data:    /workspace/scpn-fusion-core/data/qlknn10d_processed
Output:  /workspace/scpn-fusion-core/weights/neural_transport_qlknn.npz
Arch:    auto -> 256 -> 128 -> 3
Epochs:  1000
LR:      0.0003
Batch:   8192

Data is GB-normalized (raw gyro-Bohm fluxes, no chi_gb multiplication)
Added derived features: ITG excess, TEM excess -> 14D input
  Base input includes Ti_Te (col 10) and Nustar (col 11)

Data loaded: train=(8999959, 14), val=(499997, 14), test=(499999, 14)
Y ranges: chi_e=[0.00, 498.56], chi_i=[0.00, 1058.84], D_e=[0.00, 88.38]

Training on GB-normalized targets (loss in GB space, eval in physical space)
Y train ranges: [0.000, 498.563], [0.000, 1058.839], [0.000, 88.383]

--- Training ---
JAX backend: GPU (cuda:0)
  Output scale (P90): [43.0489933  72.51943665  7.25205994]
  Output bias init: [-1.85643334 -2.03539171 -2.41128238] (target mean: [6.24915201 8.90352912 0.62297083])
  Epoch    0/1000 | train_loss=209.5486 | val_loss=138.5091 | rel_l2=0.5592 | best=0.5592 | lr=3.00e-05 | pat=0/200 | 15s
  Epoch    1/1000 | train_loss=109.6739 | val_loss=89.1403 | rel_l2=0.4503 | best=0.4503 | lr=6.00e-05 | pat=0/200 | 26s
  Epoch    2/1000 | train_loss=81.1514 | val_loss=71.9058 | rel_l2=0.4017 | best=0.4017 | lr=9.00e-05 | pat=0/200 | 36s
  Epoch    3/1000 | train_loss=67.1165 | val_loss=60.3863 | rel_l2=0.3657 | best=0.3657 | lr=1.20e-04 | pat=0/200 | 47s
  Epoch    4/1000 | train_loss=55.4942 | val_loss=49.3739 | rel_l2=0.3337 | best=0.3337 | lr=1.50e-04 | pat=0/200 | 57s
  Epoch    5/1000 | train_loss=45.4503 | val_loss=41.9344 | rel_l2=0.3083 | best=0.3083 | lr=1.80e-04 | pat=0/200 | 68s
  Epoch    6/1000 | train_loss=38.7353 | val_loss=36.4185 | rel_l2=0.2870 | best=0.2870 | lr=2.10e-04 | pat=0/200 | 78s
  Epoch    7/1000 | train_loss=34.6212 | val_loss=33.5342 | rel_l2=0.2718 | best=0.2718 | lr=2.40e-04 | pat=0/200 | 88s
  Epoch    8/1000 | train_loss=31.9211 | val_loss=30.8774 | rel_l2=0.2612 | best=0.2612 | lr=2.70e-04 | pat=0/200 | 99s
  Epoch    9/1000 | train_loss=29.8026 | val_loss=29.1513 | rel_l2=0.2468 | best=0.2468 | lr=3.00e-04 | pat=0/200 | 110s
  Epoch   10/1000 | train_loss=28.0569 | val_loss=28.4800 | rel_l2=0.2458 | best=0.2458 | lr=3.00e-04 | pat=0/200 | 121s
  Epoch   11/1000 | train_loss=26.7117 | val_loss=27.2771 | rel_l2=0.2414 | best=0.2414 | lr=3.00e-04 | pat=0/200 | 132s
  Epoch   12/1000 | train_loss=25.6172 | val_loss=26.3087 | rel_l2=0.2361 | best=0.2361 | lr=3.00e-04 | pat=0/200 | 142s
  Epoch   13/1000 | train_loss=24.7667 | val_loss=25.6943 | rel_l2=0.2312 | best=0.2312 | lr=3.00e-04 | pat=0/200 | 153s
  Epoch   14/1000 | train_loss=24.0209 | val_loss=25.3266 | rel_l2=0.2324 | best=0.2312 | lr=3.00e-04 | pat=1/200 | 163s
  Epoch   15/1000 | train_loss=23.3835 | val_loss=24.7873 | rel_l2=0.2285 | best=0.2285 | lr=3.00e-04 | pat=0/200 | 174s
  Epoch   16/1000 | train_loss=22.8555 | val_loss=24.3027 | rel_l2=0.2254 | best=0.2254 | lr=3.00e-04 | pat=0/200 | 185s
  Epoch   17/1000 | train_loss=22.3650 | val_loss=24.5047 | rel_l2=0.2323 | best=0.2254 | lr=3.00e-04 | pat=1/200 | 196s
  Epoch   18/1000 | train_loss=21.9150 | val_loss=23.3055 | rel_l2=0.2200 | best=0.2200 | lr=3.00e-04 | pat=0/200 | 206s
  Epoch   19/1000 | train_loss=21.5041 | val_loss=23.1349 | rel_l2=0.2228 | best=0.2200 | lr=3.00e-04 | pat=1/200 | 217s
  Epoch   20/1000 | train_loss=21.1180 | val_loss=22.7030 | rel_l2=0.2164 | best=0.2164 | lr=3.00e-04 | pat=0/200 | 227s
  Epoch   21/1000 | train_loss=20.7300 | val_loss=22.0445 | rel_l2=0.2161 | best=0.2161 | lr=3.00e-04 | pat=0/200 | 238s
  Epoch   22/1000 | train_loss=20.4289 | val_loss=21.6071 | rel_l2=0.2118 | best=0.2118 | lr=3.00e-04 | pat=0/200 | 248s
  Epoch   23/1000 | train_loss=20.0805 | val_loss=21.8375 | rel_l2=0.2108 | best=0.2108 | lr=3.00e-04 | pat=0/200 | 259s
  Epoch   24/1000 | train_loss=19.7951 | val_loss=21.4460 | rel_l2=0.2103 | best=0.2103 | lr=3.00e-04 | pat=0/200 | 269s
  Epoch   25/1000 | train_loss=19.4427 | val_loss=20.9996 | rel_l2=0.2099 | best=0.2099 | lr=3.00e-04 | pat=0/200 | 280s
  Epoch   26/1000 | train_loss=19.2315 | val_loss=21.2018 | rel_l2=0.2108 | best=0.2099 | lr=3.00e-04 | pat=1/200 | 290s
  Epoch   27/1000 | train_loss=18.9397 | val_loss=21.2610 | rel_l2=0.2123 | best=0.2099 | lr=3.00e-04 | pat=2/200 | 301s
  Epoch   28/1000 | train_loss=18.6840 | val_loss=20.5111 | rel_l2=0.2072 | best=0.2072 | lr=3.00e-04 | pat=0/200 | 311s
  Epoch   29/1000 | train_loss=18.4308 | val_loss=20.5439 | rel_l2=0.2101 | best=0.2072 | lr=3.00e-04 | pat=1/200 | 322s
  Epoch   30/1000 | train_loss=18.1989 | val_loss=19.9766 | rel_l2=0.2072 | best=0.2072 | lr=3.00e-04 | pat=0/200 | 333s
  Epoch   31/1000 | train_loss=17.9583 | val_loss=19.7287 | rel_l2=0.2066 | best=0.2066 | lr=3.00e-04 | pat=0/200 | 343s
  Epoch   32/1000 | train_loss=17.7285 | val_loss=19.8929 | rel_l2=0.2032 | best=0.2032 | lr=3.00e-04 | pat=0/200 | 353s
  Epoch   33/1000 | train_loss=17.5412 | val_loss=19.0832 | rel_l2=0.1984 | best=0.1984 | lr=3.00e-04 | pat=0/200 | 364s
  Epoch   34/1000 | train_loss=17.3073 | val_loss=19.4459 | rel_l2=0.2064 | best=0.1984 | lr=3.00e-04 | pat=1/200 | 374s
  Epoch   35/1000 | train_loss=17.1310 | val_loss=18.9658 | rel_l2=0.2000 | best=0.1984 | lr=3.00e-04 | pat=2/200 | 385s
  Epoch   36/1000 | train_loss=16.8948 | val_loss=19.3488 | rel_l2=0.2044 | best=0.1984 | lr=2.99e-04 | pat=3/200 | 395s
  Epoch   37/1000 | train_loss=16.6898 | val_loss=18.6044 | rel_l2=0.2022 | best=0.1984 | lr=2.99e-04 | pat=4/200 | 405s
  Epoch   38/1000 | train_loss=16.4967 | val_loss=18.3169 | rel_l2=0.1977 | best=0.1977 | lr=2.99e-04 | pat=0/200 | 416s
  Epoch   39/1000 | train_loss=16.3128 | val_loss=18.2902 | rel_l2=0.1977 | best=0.1977 | lr=2.99e-04 | pat=1/200 | 426s
  Epoch   40/1000 | train_loss=16.1079 | val_loss=18.0269 | rel_l2=0.2012 | best=0.1977 | lr=2.99e-04 | pat=2/200 | 436s
  Epoch   41/1000 | train_loss=15.9311 | val_loss=17.9711 | rel_l2=0.1957 | best=0.1957 | lr=2.99e-04 | pat=0/200 | 446s
  Epoch   42/1000 | train_loss=15.7326 | val_loss=17.4177 | rel_l2=0.1951 | best=0.1951 | lr=2.99e-04 | pat=0/200 | 457s
  Epoch   43/1000 | train_loss=15.5438 | val_loss=17.4434 | rel_l2=0.1999 | best=0.1951 | lr=2.99e-04 | pat=1/200 | 467s
  Epoch   44/1000 | train_loss=15.3836 | val_loss=17.3880 | rel_l2=0.1957 | best=0.1951 | lr=2.99e-04 | pat=2/200 | 477s
  Epoch   45/1000 | train_loss=15.2291 | val_loss=17.0226 | rel_l2=0.1965 | best=0.1951 | lr=2.99e-04 | pat=3/200 | 487s
  Epoch   46/1000 | train_loss=15.0677 | val_loss=16.4155 | rel_l2=0.1930 | best=0.1930 | lr=2.99e-04 | pat=0/200 | 498s
  Epoch   47/1000 | train_loss=14.9093 | val_loss=16.8047 | rel_l2=0.1924 | best=0.1924 | lr=2.99e-04 | pat=0/200 | 508s
  Epoch   48/1000 | train_loss=14.7762 | val_loss=16.5831 | rel_l2=0.1906 | best=0.1906 | lr=2.99e-04 | pat=0/200 | 518s
  Epoch   49/1000 | train_loss=14.6164 | val_loss=16.2275 | rel_l2=0.1935 | best=0.1906 | lr=2.99e-04 | pat=1/200 | 529s
  Epoch   50/1000 | train_loss=14.4694 | val_loss=16.0103 | rel_l2=0.1858 | best=0.1858 | lr=2.99e-04 | pat=0/200 | 539s
  Epoch   51/1000 | train_loss=14.4080 | val_loss=16.2789 | rel_l2=0.1994 | best=0.1858 | lr=2.99e-04 | pat=1/200 | 550s
  Epoch   52/1000 | train_loss=14.2171 | val_loss=16.1620 | rel_l2=0.1916 | best=0.1858 | lr=2.99e-04 | pat=2/200 | 560s
  Epoch   53/1000 | train_loss=14.1272 | val_loss=15.6944 | rel_l2=0.1901 | best=0.1858 | lr=2.99e-04 | pat=3/200 | 570s
