=== SCPN Fusion Core — Neural Transport Training (QLKNN-10D) ===
Data:    /workspace/scpn-fusion-core/data/qlknn10d_processed
Output:  /workspace/scpn-fusion-core/weights/neural_transport_qlknn.npz
Arch:    auto -> 256 -> 128 -> 3
Epochs:  1000
LR:      0.0003
Batch:   8192

Data is GB-normalized (raw gyro-Bohm fluxes, no chi_gb multiplication)
Added derived features: ITG excess, TEM excess -> 14D input
  Base input includes Ti_Te (col 10) and Nustar (col 11)

Data loaded: train=(8999959, 14), val=(499997, 14), test=(499999, 14)
Y ranges: chi_e=[0.00, 498.56], chi_i=[0.00, 1058.84], D_e=[0.00, 88.38]

Training on GB-normalized targets (loss in GB space, eval in physical space)
Y train ranges: [0.000, 498.563], [0.000, 1058.839], [0.000, 88.383]

--- Training ---
JAX backend: GPU (cuda:0)
  Output scale (P90): [43.0489933  72.51943665  7.25205994]
  Output bias init: [-1.85643334 -2.03539171 -2.41128238] (target mean: [6.24915201 8.90352912 0.62297083])
  Epoch    0/1000 | train_loss=209.0232 | val_loss=137.5716 | rel_l2=0.5577 | best=0.5577 | lr=3.00e-05 | pat=0/200 | 15s
  Epoch    1/1000 | train_loss=107.7676 | val_loss=85.7376 | rel_l2=0.4399 | best=0.4399 | lr=6.00e-05 | pat=0/200 | 26s
  Epoch    2/1000 | train_loss=76.8198 | val_loss=67.4161 | rel_l2=0.3862 | best=0.3862 | lr=9.00e-05 | pat=0/200 | 36s
  Epoch    3/1000 | train_loss=61.0562 | val_loss=54.0943 | rel_l2=0.3403 | best=0.3403 | lr=1.20e-04 | pat=0/200 | 46s
  Epoch    4/1000 | train_loss=48.0742 | val_loss=42.3669 | rel_l2=0.3028 | best=0.3028 | lr=1.50e-04 | pat=0/200 | 57s
  Epoch    5/1000 | train_loss=38.1535 | val_loss=35.6082 | rel_l2=0.2778 | best=0.2778 | lr=1.80e-04 | pat=0/200 | 67s
  Epoch    6/1000 | train_loss=31.5970 | val_loss=28.4754 | rel_l2=0.2433 | best=0.2433 | lr=2.10e-04 | pat=0/200 | 77s
  Epoch    7/1000 | train_loss=27.0800 | val_loss=25.4078 | rel_l2=0.2279 | best=0.2279 | lr=2.40e-04 | pat=0/200 | 88s
  Epoch    8/1000 | train_loss=23.9501 | val_loss=22.3687 | rel_l2=0.2148 | best=0.2148 | lr=2.70e-04 | pat=0/200 | 98s
  Epoch    9/1000 | train_loss=21.7097 | val_loss=21.5272 | rel_l2=0.2090 | best=0.2090 | lr=3.00e-04 | pat=0/200 | 108s
  Epoch   10/1000 | train_loss=20.1418 | val_loss=19.5869 | rel_l2=0.1990 | best=0.1990 | lr=3.00e-04 | pat=0/200 | 119s
  Epoch   11/1000 | train_loss=18.9530 | val_loss=19.4219 | rel_l2=0.2017 | best=0.1990 | lr=3.00e-04 | pat=1/200 | 129s
  Epoch   12/1000 | train_loss=18.0013 | val_loss=17.6621 | rel_l2=0.1874 | best=0.1874 | lr=3.00e-04 | pat=0/200 | 139s
  Epoch   13/1000 | train_loss=17.2195 | val_loss=17.6940 | rel_l2=0.1890 | best=0.1874 | lr=3.00e-04 | pat=1/200 | 149s
  Epoch   14/1000 | train_loss=16.5721 | val_loss=16.6268 | rel_l2=0.1824 | best=0.1824 | lr=3.00e-04 | pat=0/200 | 159s
  Epoch   15/1000 | train_loss=15.9773 | val_loss=16.3425 | rel_l2=0.1786 | best=0.1786 | lr=3.00e-04 | pat=0/200 | 169s
  Epoch   16/1000 | train_loss=15.5132 | val_loss=15.7866 | rel_l2=0.1765 | best=0.1765 | lr=3.00e-04 | pat=0/200 | 179s
