=== SCPN Fusion Core — Neural Transport Training (QLKNN-10D) ===
Data:    data/qlknn10d_processed
Output:  weights/neural_transport_qlknn.npz
Arch:    auto -> 256 -> 128 -> 3
Epochs:  1000
LR:      0.0003
Batch:   8192

Data is GB-normalized (raw gyro-Bohm fluxes, no chi_gb multiplication)
Added derived features: ITG excess, TEM excess -> 12D input

Data loaded: train=(8999959, 12), val=(499997, 12), test=(499999, 12)
Y ranges: chi_e=[0.00, 498.56], chi_i=[0.00, 1058.84], D_e=[0.00, 88.38]

Training on GB-normalized targets (loss in GB space, eval in physical space)
Y train ranges: [0.000, 498.563], [0.000, 1058.839], [0.000, 88.383]

--- Training ---
JAX backend: GPU (cuda:0)
  Output scale (P90): [43.0489933  72.51943665  7.25205994]
  Output bias init: flux=[-1.85643334 -2.03539171 -2.41128238], gate=-0.42 (flux fraction=0.40, target mean: [6.24915201 8.90352912 0.62297083])
  Epoch    0/1000 | train_loss=501.9841 | val_loss=341.1767 | rel_l2=0.6030 | best=0.6030 | lr=3.00e-05 | pat=0/150 | 16s
  Epoch    1/1000 | train_loss=308.9742 | val_loss=265.4230 | rel_l2=0.4941 | best=0.4941 | lr=6.00e-05 | pat=0/150 | 26s
  Epoch    2/1000 | train_loss=259.4141 | val_loss=233.8174 | rel_l2=0.4576 | best=0.4576 | lr=9.00e-05 | pat=0/150 | 35s
  Epoch    3/1000 | train_loss=227.6878 | val_loss=207.0525 | rel_l2=0.4380 | best=0.4380 | lr=1.20e-04 | pat=0/150 | 45s
  Epoch    4/1000 | train_loss=201.4018 | val_loss=181.1098 | rel_l2=0.4113 | best=0.4113 | lr=1.50e-04 | pat=0/150 | 55s
  Epoch    5/1000 | train_loss=180.0818 | val_loss=165.1256 | rel_l2=0.3939 | best=0.3939 | lr=1.80e-04 | pat=0/150 | 65s
  Epoch    6/1000 | train_loss=164.4869 | val_loss=150.5373 | rel_l2=0.3759 | best=0.3759 | lr=2.10e-04 | pat=0/150 | 76s
  Epoch    7/1000 | train_loss=154.3845 | val_loss=142.9214 | rel_l2=0.3599 | best=0.3599 | lr=2.40e-04 | pat=0/150 | 86s
  Epoch    8/1000 | train_loss=147.6655 | val_loss=140.2012 | rel_l2=0.3588 | best=0.3588 | lr=2.70e-04 | pat=0/150 | 97s
  Epoch    9/1000 | train_loss=143.1687 | val_loss=136.7541 | rel_l2=0.3544 | best=0.3544 | lr=3.00e-04 | pat=0/150 | 107s
  Epoch   10/1000 | train_loss=139.5473 | val_loss=133.5098 | rel_l2=0.3478 | best=0.3478 | lr=3.00e-04 | pat=0/150 | 116s
  Epoch   11/1000 | train_loss=136.8123 | val_loss=130.4431 | rel_l2=0.3421 | best=0.3421 | lr=3.00e-04 | pat=0/150 | 127s
  Epoch   12/1000 | train_loss=134.6884 | val_loss=131.2522 | rel_l2=0.3449 | best=0.3421 | lr=3.00e-04 | pat=1/150 | 137s
  Epoch   13/1000 | train_loss=133.1354 | val_loss=129.1156 | rel_l2=0.3408 | best=0.3408 | lr=3.00e-04 | pat=0/150 | 147s
  Epoch   14/1000 | train_loss=131.6267 | val_loss=128.4457 | rel_l2=0.3386 | best=0.3386 | lr=3.00e-04 | pat=0/150 | 157s
  Epoch   15/1000 | train_loss=130.7002 | val_loss=127.2234 | rel_l2=0.3400 | best=0.3386 | lr=3.00e-04 | pat=1/150 | 168s
  Epoch   16/1000 | train_loss=129.3772 | val_loss=125.7953 | rel_l2=0.3343 | best=0.3343 | lr=3.00e-04 | pat=0/150 | 179s
  Epoch   17/1000 | train_loss=128.6884 | val_loss=125.3698 | rel_l2=0.3350 | best=0.3343 | lr=3.00e-04 | pat=1/150 | 189s
  Epoch   18/1000 | train_loss=127.8934 | val_loss=126.7604 | rel_l2=0.3382 | best=0.3343 | lr=3.00e-04 | pat=2/150 | 199s
  Epoch   19/1000 | train_loss=127.2134 | val_loss=124.7861 | rel_l2=0.3355 | best=0.3343 | lr=3.00e-04 | pat=3/150 | 208s
  Epoch   20/1000 | train_loss=126.6203 | val_loss=123.6592 | rel_l2=0.3338 | best=0.3338 | lr=3.00e-04 | pat=0/150 | 218s
  Epoch   21/1000 | train_loss=126.0296 | val_loss=126.1544 | rel_l2=0.3351 | best=0.3338 | lr=3.00e-04 | pat=1/150 | 229s
  Epoch   22/1000 | train_loss=125.5870 | val_loss=123.7475 | rel_l2=0.3328 | best=0.3328 | lr=3.00e-04 | pat=0/150 | 239s
  Epoch   23/1000 | train_loss=125.0137 | val_loss=124.0529 | rel_l2=0.3353 | best=0.3328 | lr=3.00e-04 | pat=1/150 | 249s
  Epoch   24/1000 | train_loss=124.4913 | val_loss=124.2800 | rel_l2=0.3331 | best=0.3328 | lr=3.00e-04 | pat=2/150 | 260s
  Epoch   25/1000 | train_loss=124.2318 | val_loss=123.3149 | rel_l2=0.3342 | best=0.3328 | lr=3.00e-04 | pat=3/150 | 270s
  Epoch   26/1000 | train_loss=124.0503 | val_loss=122.8933 | rel_l2=0.3349 | best=0.3328 | lr=3.00e-04 | pat=4/150 | 280s
  Epoch   27/1000 | train_loss=123.4350 | val_loss=125.0086 | rel_l2=0.3422 | best=0.3328 | lr=3.00e-04 | pat=5/150 | 290s
  Epoch   28/1000 | train_loss=123.1542 | val_loss=122.0320 | rel_l2=0.3322 | best=0.3322 | lr=3.00e-04 | pat=0/150 | 300s
