=== SCPN Fusion Core — Neural Transport Training (QLKNN-10D) ===
Data:    /workspace/scpn-fusion-core/data/qlknn10d_processed
Output:  /workspace/scpn-fusion-core/weights/neural_transport_qlknn.npz
Arch:    auto -> 256 -> 128 -> 3
Epochs:  1000
LR:      0.0003
Batch:   8192

Data is GB-normalized (raw gyro-Bohm fluxes, no chi_gb multiplication)
Added derived features: ITG excess, TEM excess -> 12D input

Data loaded: train=(8999959, 12), val=(499997, 12), test=(499999, 12)
Y ranges: chi_e=[0.00, 498.56], chi_i=[0.00, 1058.84], D_e=[0.00, 88.38]

Training on GB-normalized targets (loss in GB space, eval in physical space)
Y train ranges: [0.000, 498.563], [0.000, 1058.839], [0.000, 88.383]

--- Training ---
JAX backend: GPU (cuda:0)
  Output scale (P90): [43.0489933  72.51943665  7.25205994]
  Output bias init: [-1.85643334 -2.03539171 -2.41128238] (target mean: [6.24915201 8.90352912 0.62297083])
  Align-metric: sample weights by chi_gb^2 (min=0.001, median=0.077, max=9.665)
  Epoch    0/1000 | train_loss=225.7193 | val_loss=184.1874 | rel_l2=0.5713 | best=0.5713 | lr=3.00e-05 | pat=0/200 | 18s
  Epoch    1/1000 | train_loss=131.1995 | val_loss=141.5249 | rel_l2=0.4867 | best=0.4867 | lr=6.00e-05 | pat=0/200 | 29s
  Epoch    2/1000 | train_loss=106.2595 | val_loss=122.7261 | rel_l2=0.4517 | best=0.4517 | lr=9.00e-05 | pat=0/200 | 40s
  Epoch    3/1000 | train_loss=93.7015 | val_loss=112.4190 | rel_l2=0.4322 | best=0.4322 | lr=1.20e-04 | pat=0/200 | 50s
  Epoch    4/1000 | train_loss=83.8828 | val_loss=103.5655 | rel_l2=0.4049 | best=0.4049 | lr=1.50e-04 | pat=0/200 | 60s
  Epoch    5/1000 | train_loss=76.4880 | val_loss=95.3153 | rel_l2=0.3877 | best=0.3877 | lr=1.80e-04 | pat=0/200 | 69s
  Epoch    6/1000 | train_loss=70.9480 | val_loss=94.5346 | rel_l2=0.3712 | best=0.3712 | lr=2.10e-04 | pat=0/200 | 79s
  Epoch    7/1000 | train_loss=66.8777 | val_loss=85.5432 | rel_l2=0.3584 | best=0.3584 | lr=2.40e-04 | pat=0/200 | 90s
  Epoch    8/1000 | train_loss=63.7211 | val_loss=81.6008 | rel_l2=0.3525 | best=0.3525 | lr=2.70e-04 | pat=0/200 | 99s
  Epoch    9/1000 | train_loss=61.7197 | val_loss=78.7852 | rel_l2=0.3500 | best=0.3500 | lr=3.00e-04 | pat=0/200 | 109s
  Epoch   10/1000 | train_loss=60.0740 | val_loss=78.1427 | rel_l2=0.3398 | best=0.3398 | lr=3.00e-04 | pat=0/200 | 121s
  Epoch   11/1000 | train_loss=58.8101 | val_loss=76.2416 | rel_l2=0.3395 | best=0.3395 | lr=3.00e-04 | pat=0/200 | 131s
  Epoch   12/1000 | train_loss=58.0682 | val_loss=73.9735 | rel_l2=0.3407 | best=0.3395 | lr=3.00e-04 | pat=1/200 | 140s
  Epoch   13/1000 | train_loss=57.4095 | val_loss=76.1794 | rel_l2=0.3397 | best=0.3395 | lr=3.00e-04 | pat=2/200 | 150s
  Epoch   14/1000 | train_loss=56.5425 | val_loss=72.2824 | rel_l2=0.3366 | best=0.3366 | lr=3.00e-04 | pat=0/200 | 160s
  Epoch   15/1000 | train_loss=56.1481 | val_loss=74.8187 | rel_l2=0.3488 | best=0.3366 | lr=3.00e-04 | pat=1/200 | 170s
  Epoch   16/1000 | train_loss=55.8451 | val_loss=72.0788 | rel_l2=0.3381 | best=0.3366 | lr=3.00e-04 | pat=2/200 | 180s
  Epoch   17/1000 | train_loss=55.4932 | val_loss=70.8946 | rel_l2=0.3348 | best=0.3348 | lr=3.00e-04 | pat=0/200 | 190s
  Epoch   18/1000 | train_loss=55.2174 | val_loss=70.3532 | rel_l2=0.3356 | best=0.3348 | lr=3.00e-04 | pat=1/200 | 201s
  Epoch   19/1000 | train_loss=54.8075 | val_loss=69.1161 | rel_l2=0.3310 | best=0.3310 | lr=3.00e-04 | pat=0/200 | 211s
  Epoch   20/1000 | train_loss=54.6307 | val_loss=70.2207 | rel_l2=0.3322 | best=0.3310 | lr=3.00e-04 | pat=1/200 | 220s
  Epoch   21/1000 | train_loss=54.5556 | val_loss=71.7870 | rel_l2=0.3302 | best=0.3302 | lr=3.00e-04 | pat=0/200 | 230s
  Epoch   22/1000 | train_loss=54.1573 | val_loss=68.5446 | rel_l2=0.3298 | best=0.3298 | lr=3.00e-04 | pat=0/200 | 240s
  Epoch   23/1000 | train_loss=54.0010 | val_loss=67.4821 | rel_l2=0.3322 | best=0.3298 | lr=3.00e-04 | pat=1/200 | 250s
  Epoch   24/1000 | train_loss=53.8864 | val_loss=67.9429 | rel_l2=0.3295 | best=0.3295 | lr=3.00e-04 | pat=0/200 | 259s
  Epoch   25/1000 | train_loss=53.6626 | val_loss=67.0069 | rel_l2=0.3280 | best=0.3280 | lr=3.00e-04 | pat=0/200 | 269s
  Epoch   26/1000 | train_loss=53.3408 | val_loss=67.5142 | rel_l2=0.3239 | best=0.3239 | lr=3.00e-04 | pat=0/200 | 279s
  Epoch   27/1000 | train_loss=53.1874 | val_loss=70.7422 | rel_l2=0.3296 | best=0.3239 | lr=3.00e-04 | pat=1/200 | 289s
  Epoch   28/1000 | train_loss=52.9186 | val_loss=68.6769 | rel_l2=0.3280 | best=0.3239 | lr=3.00e-04 | pat=2/200 | 298s
  Epoch   29/1000 | train_loss=52.8197 | val_loss=66.3651 | rel_l2=0.3297 | best=0.3239 | lr=3.00e-04 | pat=3/200 | 308s
  Epoch   30/1000 | train_loss=52.6851 | val_loss=67.4297 | rel_l2=0.3302 | best=0.3239 | lr=3.00e-04 | pat=4/200 | 318s
  Epoch   31/1000 | train_loss=52.4706 | val_loss=64.8811 | rel_l2=0.3258 | best=0.3239 | lr=3.00e-04 | pat=5/200 | 328s
  Epoch   32/1000 | train_loss=52.4776 | val_loss=65.0412 | rel_l2=0.3248 | best=0.3239 | lr=3.00e-04 | pat=6/200 | 337s
  Epoch   33/1000 | train_loss=52.2731 | val_loss=65.4636 | rel_l2=0.3288 | best=0.3239 | lr=3.00e-04 | pat=7/200 | 347s
  Epoch   34/1000 | train_loss=52.1899 | val_loss=65.6356 | rel_l2=0.3302 | best=0.3239 | lr=3.00e-04 | pat=8/200 | 357s
  Epoch   35/1000 | train_loss=52.0386 | val_loss=66.4129 | rel_l2=0.3238 | best=0.3238 | lr=3.00e-04 | pat=0/200 | 366s
  Epoch   36/1000 | train_loss=51.9132 | val_loss=67.5912 | rel_l2=0.3251 | best=0.3238 | lr=2.99e-04 | pat=1/200 | 376s
  Epoch   37/1000 | train_loss=51.8177 | val_loss=65.0037 | rel_l2=0.3251 | best=0.3238 | lr=2.99e-04 | pat=2/200 | 386s
  Epoch   38/1000 | train_loss=51.5739 | val_loss=65.2593 | rel_l2=0.3349 | best=0.3238 | lr=2.99e-04 | pat=3/200 | 396s
  Epoch   39/1000 | train_loss=51.5455 | val_loss=66.0019 | rel_l2=0.3287 | best=0.3238 | lr=2.99e-04 | pat=4/200 | 406s
  Epoch   40/1000 | train_loss=51.4874 | val_loss=65.6285 | rel_l2=0.3325 | best=0.3238 | lr=2.99e-04 | pat=5/200 | 416s
  Epoch   41/1000 | train_loss=51.3130 | val_loss=64.9102 | rel_l2=0.3300 | best=0.3238 | lr=2.99e-04 | pat=6/200 | 426s
  Epoch   42/1000 | train_loss=51.2173 | val_loss=65.2667 | rel_l2=0.3250 | best=0.3238 | lr=2.99e-04 | pat=7/200 | 436s
  Epoch   43/1000 | train_loss=51.1321 | val_loss=64.9516 | rel_l2=0.3308 | best=0.3238 | lr=2.99e-04 | pat=8/200 | 446s
  Epoch   44/1000 | train_loss=51.1513 | val_loss=64.4043 | rel_l2=0.3251 | best=0.3238 | lr=2.99e-04 | pat=9/200 | 457s
  Epoch   45/1000 | train_loss=50.9193 | val_loss=64.4583 | rel_l2=0.3289 | best=0.3238 | lr=2.99e-04 | pat=10/200 | 467s
  Epoch   46/1000 | train_loss=50.9196 | val_loss=64.9709 | rel_l2=0.3339 | best=0.3238 | lr=2.99e-04 | pat=11/200 | 477s
  Epoch   47/1000 | train_loss=50.8720 | val_loss=64.6076 | rel_l2=0.3316 | best=0.3238 | lr=2.99e-04 | pat=12/200 | 487s
  Epoch   48/1000 | train_loss=50.6723 | val_loss=65.1169 | rel_l2=0.3357 | best=0.3238 | lr=2.99e-04 | pat=13/200 | 497s
  Epoch   49/1000 | train_loss=50.4198 | val_loss=64.2452 | rel_l2=0.3303 | best=0.3238 | lr=2.99e-04 | pat=14/200 | 507s
  Epoch   50/1000 | train_loss=50.5463 | val_loss=64.3413 | rel_l2=0.3281 | best=0.3238 | lr=2.99e-04 | pat=15/200 | 516s
  Epoch   51/1000 | train_loss=50.3275 | val_loss=65.4494 | rel_l2=0.3310 | best=0.3238 | lr=2.99e-04 | pat=16/200 | 526s
