=== SCPN Fusion Core — Neural Transport Training (QLKNN-10D) ===
Data:    /workspace/scpn-fusion-core/data/qlknn10d_processed
Output:  /workspace/scpn-fusion-core/weights/neural_transport_qlknn.npz
Arch:    auto -> 256 -> 128 -> 3
Epochs:  1000
LR:      0.0003
Batch:   8192
Added derived features: ITG excess, TEM excess, log(chi_gb) -> 13D input

Data loaded: train=(1801197, 13), val=(100066, 13), test=(100068, 13)
Y ranges: chi_e=[0.00, 500.00], chi_i=[0.00, 500.00], D_e=[0.00, 200.00]
Y train ranges: [0.000, 500.000], [0.000, 500.000], [0.000, 200.000]

--- Training ---
JAX backend: GPU (cuda:0)
  Output scale (P90): [27.52311679 44.75219817  4.6649513 ]
  Output bias init: [-1.80271657 -1.9763596  -2.36428204] (target mean: [4.199827   5.80774027 0.41917404])
  Epoch    0/1000 | train_loss=332.7595 | val_loss=225.8066 | rel_l2=0.7166 | best=0.7166 | lr=3.00e-05 | pat=0/200 | 7s
  Epoch    1/1000 | train_loss=183.3620 | val_loss=160.9090 | rel_l2=0.6049 | best=0.6049 | lr=6.00e-05 | pat=0/200 | 9s
  Epoch    2/1000 | train_loss=145.2337 | val_loss=131.3917 | rel_l2=0.5466 | best=0.5466 | lr=9.00e-05 | pat=0/200 | 11s
  Epoch    3/1000 | train_loss=122.2344 | val_loss=111.6621 | rel_l2=0.5039 | best=0.5039 | lr=1.20e-04 | pat=0/200 | 13s
  Epoch    4/1000 | train_loss=108.0028 | val_loss=100.4086 | rel_l2=0.4779 | best=0.4779 | lr=1.50e-04 | pat=0/200 | 15s
  Epoch    5/1000 | train_loss=98.7848 | val_loss=92.3607 | rel_l2=0.4583 | best=0.4583 | lr=1.80e-04 | pat=0/200 | 17s
  Epoch    6/1000 | train_loss=92.3885 | val_loss=85.7576 | rel_l2=0.4416 | best=0.4416 | lr=2.10e-04 | pat=0/200 | 19s
  Epoch    7/1000 | train_loss=87.1206 | val_loss=81.8828 | rel_l2=0.4315 | best=0.4315 | lr=2.40e-04 | pat=0/200 | 21s
  Epoch    8/1000 | train_loss=82.9384 | val_loss=76.7191 | rel_l2=0.4177 | best=0.4177 | lr=2.70e-04 | pat=0/200 | 23s
  Epoch    9/1000 | train_loss=79.0013 | val_loss=72.8859 | rel_l2=0.4071 | best=0.4071 | lr=3.00e-04 | pat=0/200 | 25s
  Epoch   10/1000 | train_loss=75.4709 | val_loss=69.4153 | rel_l2=0.3973 | best=0.3973 | lr=3.00e-04 | pat=0/200 | 28s
  Epoch   11/1000 | train_loss=72.1183 | val_loss=67.4859 | rel_l2=0.3917 | best=0.3917 | lr=3.00e-04 | pat=0/200 | 30s
  Epoch   12/1000 | train_loss=69.3300 | val_loss=64.8459 | rel_l2=0.3840 | best=0.3840 | lr=3.00e-04 | pat=0/200 | 32s
  Epoch   13/1000 | train_loss=67.3038 | val_loss=62.8610 | rel_l2=0.3781 | best=0.3781 | lr=3.00e-04 | pat=0/200 | 34s
  Epoch   14/1000 | train_loss=65.4005 | val_loss=61.6745 | rel_l2=0.3745 | best=0.3745 | lr=3.00e-04 | pat=0/200 | 36s
  Epoch   15/1000 | train_loss=64.1745 | val_loss=60.4564 | rel_l2=0.3708 | best=0.3708 | lr=3.00e-04 | pat=0/200 | 38s
  Epoch   16/1000 | train_loss=62.7837 | val_loss=59.5067 | rel_l2=0.3679 | best=0.3679 | lr=3.00e-04 | pat=0/200 | 40s
  Epoch   17/1000 | train_loss=61.6314 | val_loss=59.0303 | rel_l2=0.3664 | best=0.3664 | lr=3.00e-04 | pat=0/200 | 42s
  Epoch   18/1000 | train_loss=60.6558 | val_loss=58.2217 | rel_l2=0.3639 | best=0.3639 | lr=3.00e-04 | pat=0/200 | 44s
  Epoch   19/1000 | train_loss=60.0073 | val_loss=56.9552 | rel_l2=0.3599 | best=0.3599 | lr=3.00e-04 | pat=0/200 | 46s
  Epoch   20/1000 | train_loss=59.4449 | val_loss=56.5525 | rel_l2=0.3586 | best=0.3586 | lr=3.00e-04 | pat=0/200 | 48s
  Epoch   21/1000 | train_loss=58.8703 | val_loss=55.9224 | rel_l2=0.3566 | best=0.3566 | lr=3.00e-04 | pat=0/200 | 50s
  Epoch   22/1000 | train_loss=58.1671 | val_loss=55.6996 | rel_l2=0.3559 | best=0.3559 | lr=3.00e-04 | pat=0/200 | 52s
  Epoch   23/1000 | train_loss=57.6525 | val_loss=55.4919 | rel_l2=0.3552 | best=0.3552 | lr=3.00e-04 | pat=0/200 | 54s
  Epoch   24/1000 | train_loss=57.2358 | val_loss=56.8125 | rel_l2=0.3594 | best=0.3552 | lr=3.00e-04 | pat=1/200 | 56s
  Epoch   25/1000 | train_loss=56.7553 | val_loss=54.8591 | rel_l2=0.3532 | best=0.3532 | lr=3.00e-04 | pat=0/200 | 58s
  Epoch   26/1000 | train_loss=56.4056 | val_loss=53.9697 | rel_l2=0.3503 | best=0.3503 | lr=3.00e-04 | pat=0/200 | 60s
  Epoch   27/1000 | train_loss=56.2801 | val_loss=53.8842 | rel_l2=0.3500 | best=0.3500 | lr=3.00e-04 | pat=0/200 | 62s
  Epoch   28/1000 | train_loss=55.7502 | val_loss=54.0273 | rel_l2=0.3505 | best=0.3500 | lr=3.00e-04 | pat=1/200 | 64s
  Epoch   29/1000 | train_loss=55.3745 | val_loss=53.7565 | rel_l2=0.3496 | best=0.3496 | lr=3.00e-04 | pat=0/200 | 66s
  Epoch   30/1000 | train_loss=55.1063 | val_loss=53.4433 | rel_l2=0.3486 | best=0.3486 | lr=3.00e-04 | pat=0/200 | 68s
  Epoch   31/1000 | train_loss=54.9112 | val_loss=53.9761 | rel_l2=0.3503 | best=0.3486 | lr=3.00e-04 | pat=1/200 | 70s
  Epoch   32/1000 | train_loss=54.6985 | val_loss=52.9688 | rel_l2=0.3471 | best=0.3471 | lr=3.00e-04 | pat=0/200 | 72s
  Epoch   33/1000 | train_loss=54.2592 | val_loss=52.1196 | rel_l2=0.3443 | best=0.3443 | lr=3.00e-04 | pat=0/200 | 74s
  Epoch   34/1000 | train_loss=53.9757 | val_loss=52.0901 | rel_l2=0.3442 | best=0.3442 | lr=3.00e-04 | pat=0/200 | 76s
  Epoch   35/1000 | train_loss=53.8934 | val_loss=52.4547 | rel_l2=0.3454 | best=0.3442 | lr=3.00e-04 | pat=1/200 | 78s
  Epoch   36/1000 | train_loss=53.6115 | val_loss=51.7398 | rel_l2=0.3430 | best=0.3430 | lr=2.99e-04 | pat=0/200 | 80s
  Epoch   37/1000 | train_loss=53.5157 | val_loss=51.7242 | rel_l2=0.3430 | best=0.3430 | lr=2.99e-04 | pat=0/200 | 82s
  Epoch   38/1000 | train_loss=53.1929 | val_loss=51.6435 | rel_l2=0.3427 | best=0.3427 | lr=2.99e-04 | pat=0/200 | 85s
  Epoch   39/1000 | train_loss=53.0880 | val_loss=51.4994 | rel_l2=0.3422 | best=0.3422 | lr=2.99e-04 | pat=0/200 | 87s
  Epoch   40/1000 | train_loss=53.0132 | val_loss=51.3237 | rel_l2=0.3416 | best=0.3416 | lr=2.99e-04 | pat=0/200 | 89s
  Epoch   41/1000 | train_loss=52.8446 | val_loss=51.6373 | rel_l2=0.3427 | best=0.3416 | lr=2.99e-04 | pat=1/200 | 91s
  Epoch   42/1000 | train_loss=52.4615 | val_loss=51.0648 | rel_l2=0.3408 | best=0.3408 | lr=2.99e-04 | pat=0/200 | 93s
  Epoch   43/1000 | train_loss=52.0848 | val_loss=51.1997 | rel_l2=0.3412 | best=0.3408 | lr=2.99e-04 | pat=1/200 | 95s
  Epoch   44/1000 | train_loss=52.2293 | val_loss=50.9051 | rel_l2=0.3402 | best=0.3402 | lr=2.99e-04 | pat=0/200 | 97s
  Epoch   45/1000 | train_loss=52.1756 | val_loss=51.4807 | rel_l2=0.3421 | best=0.3402 | lr=2.99e-04 | pat=1/200 | 99s
  Epoch   46/1000 | train_loss=51.8511 | val_loss=50.7057 | rel_l2=0.3396 | best=0.3396 | lr=2.99e-04 | pat=0/200 | 101s
  Epoch   47/1000 | train_loss=51.7204 | val_loss=50.1703 | rel_l2=0.3378 | best=0.3378 | lr=2.99e-04 | pat=0/200 | 103s
  Epoch   48/1000 | train_loss=51.7442 | val_loss=50.5812 | rel_l2=0.3391 | best=0.3378 | lr=2.99e-04 | pat=1/200 | 105s
  Epoch   49/1000 | train_loss=51.4503 | val_loss=50.5636 | rel_l2=0.3391 | best=0.3378 | lr=2.99e-04 | pat=2/200 | 107s
  Epoch   50/1000 | train_loss=51.4233 | val_loss=50.0156 | rel_l2=0.3372 | best=0.3372 | lr=2.99e-04 | pat=0/200 | 109s
  Epoch   51/1000 | train_loss=51.4036 | val_loss=50.7062 | rel_l2=0.3396 | best=0.3372 | lr=2.99e-04 | pat=1/200 | 111s
  Epoch   52/1000 | train_loss=51.0472 | val_loss=50.7687 | rel_l2=0.3398 | best=0.3372 | lr=2.99e-04 | pat=2/200 | 113s
  Epoch   53/1000 | train_loss=51.0017 | val_loss=50.3220 | rel_l2=0.3383 | best=0.3372 | lr=2.99e-04 | pat=3/200 | 115s
  Epoch   54/1000 | train_loss=50.9001 | val_loss=49.4434 | rel_l2=0.3353 | best=0.3353 | lr=2.99e-04 | pat=0/200 | 117s
  Epoch   55/1000 | train_loss=50.7330 | val_loss=50.2820 | rel_l2=0.3381 | best=0.3353 | lr=2.98e-04 | pat=1/200 | 119s
  Epoch   56/1000 | train_loss=50.6611 | val_loss=49.8986 | rel_l2=0.3368 | best=0.3353 | lr=2.98e-04 | pat=2/200 | 121s
  Epoch   57/1000 | train_loss=50.6002 | val_loss=49.6984 | rel_l2=0.3362 | best=0.3353 | lr=2.98e-04 | pat=3/200 | 123s
  Epoch   58/1000 | train_loss=50.5796 | val_loss=49.5035 | rel_l2=0.3355 | best=0.3353 | lr=2.98e-04 | pat=4/200 | 125s
  Epoch   59/1000 | train_loss=50.3098 | val_loss=49.0684 | rel_l2=0.3340 | best=0.3340 | lr=2.98e-04 | pat=0/200 | 127s
  Epoch   60/1000 | train_loss=50.3387 | val_loss=49.1237 | rel_l2=0.3342 | best=0.3340 | lr=2.98e-04 | pat=1/200 | 129s
  Epoch   61/1000 | train_loss=50.1808 | val_loss=49.3977 | rel_l2=0.3351 | best=0.3340 | lr=2.98e-04 | pat=2/200 | 131s
  Epoch   62/1000 | train_loss=50.3419 | val_loss=49.3834 | rel_l2=0.3351 | best=0.3340 | lr=2.98e-04 | pat=3/200 | 133s
  Epoch   63/1000 | train_loss=49.9897 | val_loss=49.7024 | rel_l2=0.3362 | best=0.3340 | lr=2.98e-04 | pat=4/200 | 134s
  Epoch   64/1000 | train_loss=49.9509 | val_loss=49.7165 | rel_l2=0.3362 | best=0.3340 | lr=2.98e-04 | pat=5/200 | 136s
  Epoch   65/1000 | train_loss=49.6246 | val_loss=50.1957 | rel_l2=0.3378 | best=0.3340 | lr=2.98e-04 | pat=6/200 | 138s
  Epoch   66/1000 | train_loss=49.7216 | val_loss=48.5979 | rel_l2=0.3324 | best=0.3324 | lr=2.98e-04 | pat=0/200 | 140s
  Epoch   67/1000 | train_loss=49.6090 | val_loss=49.3822 | rel_l2=0.3351 | best=0.3324 | lr=2.98e-04 | pat=1/200 | 142s
  Epoch   68/1000 | train_loss=49.6178 | val_loss=49.2811 | rel_l2=0.3348 | best=0.3324 | lr=2.97e-04 | pat=2/200 | 144s
  Epoch   69/1000 | train_loss=49.5861 | val_loss=50.2816 | rel_l2=0.3381 | best=0.3324 | lr=2.97e-04 | pat=3/200 | 146s
  Epoch   70/1000 | train_loss=49.4785 | val_loss=48.6738 | rel_l2=0.3327 | best=0.3324 | lr=2.97e-04 | pat=4/200 | 148s
  Epoch   71/1000 | train_loss=49.4543 | val_loss=48.5279 | rel_l2=0.3322 | best=0.3322 | lr=2.97e-04 | pat=0/200 | 150s
  Epoch   72/1000 | train_loss=49.3895 | val_loss=49.2879 | rel_l2=0.3348 | best=0.3322 | lr=2.97e-04 | pat=1/200 | 152s
  Epoch   73/1000 | train_loss=49.2020 | val_loss=49.1183 | rel_l2=0.3342 | best=0.3322 | lr=2.97e-04 | pat=2/200 | 154s
