=== SCPN Fusion Core — Neural Transport Training (QLKNN-10D) ===
Data:    /workspace/scpn-fusion-core/data/qlknn10d_processed
Output:  /workspace/scpn-fusion-core/weights/neural_transport_qlknn.npz
Arch:    auto -> 256 -> 128 -> 3
Epochs:  1000
LR:      0.0003
Batch:   8192

Data is GB-normalized (raw gyro-Bohm fluxes, no chi_gb multiplication)
Added derived features: ITG excess, TEM excess -> 14D input
  Base input includes Ti_Te (col 10) and Nustar (col 11)

Data loaded: train=(1801197, 14), val=(100066, 14), test=(100068, 14)
Y ranges: chi_e=[0.00, 498.56], chi_i=[0.00, 1006.12], D_e=[0.00, 80.36]

Training on GB-normalized targets (loss in GB space, eval in physical space)
Y train ranges: [0.000, 498.563], [0.000, 1006.115], [0.000, 80.355]

--- Training ---
JAX backend: GPU (cuda:0)
  Output scale (P90): [43.07545204 72.60898666  7.2507782 ]
  Output bias init: [-1.85671903 -2.03404507 -2.41275783] (target mean: [6.25133028 8.92582728 0.62198069])
  Epoch    0/1000 | train_loss=372.7534 | val_loss=240.7482 | rel_l2=0.7526 | best=0.7526 | lr=3.00e-05 | pat=0/200 | 7s
  Epoch    1/1000 | train_loss=196.4337 | val_loss=160.5426 | rel_l2=0.6032 | best=0.6032 | lr=6.00e-05 | pat=0/200 | 9s
  Epoch    2/1000 | train_loss=142.5137 | val_loss=120.8618 | rel_l2=0.5200 | best=0.5200 | lr=9.00e-05 | pat=0/200 | 11s
  Epoch    3/1000 | train_loss=111.0024 | val_loss=98.6611 | rel_l2=0.4627 | best=0.4627 | lr=1.20e-04 | pat=0/200 | 13s
  Epoch    4/1000 | train_loss=94.0170 | val_loss=86.6482 | rel_l2=0.4300 | best=0.4300 | lr=1.50e-04 | pat=0/200 | 15s
  Epoch    5/1000 | train_loss=83.7637 | val_loss=78.4251 | rel_l2=0.4056 | best=0.4056 | lr=1.80e-04 | pat=0/200 | 17s
  Epoch    6/1000 | train_loss=76.7490 | val_loss=72.0964 | rel_l2=0.3852 | best=0.3852 | lr=2.10e-04 | pat=0/200 | 19s
  Epoch    7/1000 | train_loss=70.7956 | val_loss=66.9108 | rel_l2=0.3690 | best=0.3690 | lr=2.40e-04 | pat=0/200 | 21s
  Epoch    8/1000 | train_loss=65.5639 | val_loss=61.9607 | rel_l2=0.3533 | best=0.3533 | lr=2.70e-04 | pat=0/200 | 23s
  Epoch    9/1000 | train_loss=60.1064 | val_loss=56.7598 | rel_l2=0.3393 | best=0.3393 | lr=3.00e-04 | pat=0/200 | 26s
  Epoch   10/1000 | train_loss=55.1988 | val_loss=52.6610 | rel_l2=0.3205 | best=0.3205 | lr=3.00e-04 | pat=0/200 | 28s
  Epoch   11/1000 | train_loss=51.0249 | val_loss=49.8091 | rel_l2=0.3172 | best=0.3172 | lr=3.00e-04 | pat=0/200 | 31s
  Epoch   12/1000 | train_loss=47.9805 | val_loss=46.3097 | rel_l2=0.3003 | best=0.3003 | lr=3.00e-04 | pat=0/200 | 33s
