=== SCPN Fusion Core — Neural Transport Training (QLKNN-10D) ===
Data:    /workspace/scpn-fusion-core/data/qlknn10d_processed
Output:  /workspace/scpn-fusion-core/weights/neural_transport_qlknn.npz
Arch:    auto -> 512 -> 256 -> 128 -> 3
Epochs:  1000
LR:      0.0003
Batch:   8192

Data is GB-normalized (raw gyro-Bohm fluxes, no chi_gb multiplication)
Added derived features: ITG excess, TEM excess -> 14D input
  Base input includes Ti_Te (col 10) and Nustar (col 11)

Data loaded: train=(8999959, 14), val=(499997, 14), test=(499999, 14)
Y ranges: chi_e=[0.00, 498.56], chi_i=[0.00, 1058.84], D_e=[0.00, 88.38]

Training on GB-normalized targets (loss in GB space, eval in physical space)
Y train ranges: [0.000, 498.563], [0.000, 1058.839], [0.000, 88.383]

--- Training ---
JAX backend: GPU (cuda:0)
  Output scale (P90): [43.0489933  72.51943665  7.25205994]
  Output bias init: [-1.85643334 -2.03539171 -2.41128238] (target mean: [6.24915201 8.90352912 0.62297083])
  Epoch    0/1000 | train_loss=149.5563 | val_loss=82.8727 | rel_l2=0.4333 | best=0.4333 | lr=3.00e-05 | pat=0/200 | 20s
  Epoch    1/1000 | train_loss=67.1573 | val_loss=52.2728 | rel_l2=0.3483 | best=0.3483 | lr=6.00e-05 | pat=0/200 | 32s
  Epoch    2/1000 | train_loss=43.3265 | val_loss=34.8107 | rel_l2=0.2799 | best=0.2799 | lr=9.00e-05 | pat=0/200 | 45s
  Epoch    3/1000 | train_loss=30.5397 | val_loss=27.2584 | rel_l2=0.2475 | best=0.2475 | lr=1.20e-04 | pat=0/200 | 58s
  Epoch    4/1000 | train_loss=24.5670 | val_loss=21.9594 | rel_l2=0.2201 | best=0.2201 | lr=1.50e-04 | pat=0/200 | 71s
  Epoch    5/1000 | train_loss=20.9754 | val_loss=20.1642 | rel_l2=0.2147 | best=0.2147 | lr=1.80e-04 | pat=0/200 | 84s
  Epoch    6/1000 | train_loss=18.5111 | val_loss=18.3845 | rel_l2=0.2053 | best=0.2053 | lr=2.10e-04 | pat=0/200 | 97s
  Epoch    7/1000 | train_loss=16.4967 | val_loss=16.7516 | rel_l2=0.1923 | best=0.1923 | lr=2.40e-04 | pat=0/200 | 110s
  Epoch    8/1000 | train_loss=14.8519 | val_loss=14.7421 | rel_l2=0.1804 | best=0.1804 | lr=2.70e-04 | pat=0/200 | 123s
  Epoch    9/1000 | train_loss=13.3361 | val_loss=14.4696 | rel_l2=0.1854 | best=0.1804 | lr=3.00e-04 | pat=1/200 | 135s
  Epoch   10/1000 | train_loss=12.0010 | val_loss=11.6600 | rel_l2=0.1676 | best=0.1676 | lr=3.00e-04 | pat=0/200 | 148s
