=== SCPN Fusion Core — Neural Transport Training (QLKNN-10D) ===
Data:    /workspace/scpn-fusion-core/data/qlknn10d_processed
Output:  /workspace/scpn-fusion-core/weights/neural_transport_qlknn.npz
Arch:    auto -> 512 -> 256 -> 128 -> 3
Epochs:  1000
LR:      0.0003
Batch:   8192

Data is GB-normalized (raw gyro-Bohm fluxes, no chi_gb multiplication)
Added derived features: ITG excess, TEM excess -> 14D input
  Base input includes Ti_Te (col 10) and Nustar (col 11)

Data loaded: train=(8999959, 14), val=(499997, 14), test=(499999, 14)
Y ranges: chi_e=[0.00, 498.56], chi_i=[0.00, 1058.84], D_e=[0.00, 88.38]

Training on GB-normalized targets (loss in GB space, eval in physical space)
Y train ranges: [0.000, 498.563], [0.000, 1058.839], [0.000, 88.383]

--- Training ---
JAX backend: GPU (cuda:0)
  Output scale (P90): [43.0489933  72.51943665  7.25205994]
  Output bias init: [-1.85643334 -2.03539171 -2.41128238] (target mean: [6.24915201 8.90352912 0.62297083])
  Channel-balanced MSE: inv_scale^2 = [0.0005396  0.00019015 0.01901416]
  Epoch    0/1000 | train_loss=0.1513 | val_loss=0.1199 | rel_l2=0.4362 | best=0.4362 | lr=3.00e-05 | pat=0/200 | 20s
  Epoch    1/1000 | train_loss=0.1096 | val_loss=0.1002 | rel_l2=0.3559 | best=0.3559 | lr=6.00e-05 | pat=0/200 | 33s
  Epoch    2/1000 | train_loss=0.0916 | val_loss=0.0831 | rel_l2=0.2865 | best=0.2865 | lr=9.00e-05 | pat=0/200 | 46s
  Epoch    3/1000 | train_loss=0.0753 | val_loss=0.0677 | rel_l2=0.2465 | best=0.2465 | lr=1.20e-04 | pat=0/200 | 59s
  Epoch    4/1000 | train_loss=0.0609 | val_loss=0.0541 | rel_l2=0.2194 | best=0.2194 | lr=1.50e-04 | pat=0/200 | 73s
  Epoch    5/1000 | train_loss=0.0487 | val_loss=0.0434 | rel_l2=0.2124 | best=0.2124 | lr=1.80e-04 | pat=0/200 | 85s
  Epoch    6/1000 | train_loss=0.0392 | val_loss=0.0350 | rel_l2=0.2042 | best=0.2042 | lr=2.10e-04 | pat=0/200 | 98s
  Epoch    7/1000 | train_loss=0.0322 | val_loss=0.0294 | rel_l2=0.2046 | best=0.2042 | lr=2.40e-04 | pat=1/200 | 111s
  Epoch    8/1000 | train_loss=0.0272 | val_loss=0.0250 | rel_l2=0.2040 | best=0.2040 | lr=2.70e-04 | pat=0/200 | 124s
  Epoch    9/1000 | train_loss=0.0238 | val_loss=0.0223 | rel_l2=0.2002 | best=0.2002 | lr=3.00e-04 | pat=0/200 | 137s
  Epoch   10/1000 | train_loss=0.0214 | val_loss=0.0204 | rel_l2=0.1941 | best=0.1941 | lr=3.00e-04 | pat=0/200 | 150s
  Epoch   11/1000 | train_loss=0.0198 | val_loss=0.0192 | rel_l2=0.2005 | best=0.1941 | lr=3.00e-04 | pat=1/200 | 163s
  Epoch   12/1000 | train_loss=0.0187 | val_loss=0.0180 | rel_l2=0.1939 | best=0.1939 | lr=3.00e-04 | pat=0/200 | 176s
  Epoch   13/1000 | train_loss=0.0179 | val_loss=0.0173 | rel_l2=0.1928 | best=0.1928 | lr=3.00e-04 | pat=0/200 | 189s
  Epoch   14/1000 | train_loss=0.0173 | val_loss=0.0174 | rel_l2=0.1963 | best=0.1928 | lr=3.00e-04 | pat=1/200 | 202s
  Epoch   15/1000 | train_loss=0.0168 | val_loss=0.0165 | rel_l2=0.1913 | best=0.1913 | lr=3.00e-04 | pat=0/200 | 216s
  Epoch   16/1000 | train_loss=0.0164 | val_loss=0.0160 | rel_l2=0.1898 | best=0.1898 | lr=3.00e-04 | pat=0/200 | 229s
  Epoch   17/1000 | train_loss=0.0161 | val_loss=0.0162 | rel_l2=0.1963 | best=0.1898 | lr=3.00e-04 | pat=1/200 | 242s
  Epoch   18/1000 | train_loss=0.0159 | val_loss=0.0158 | rel_l2=0.1907 | best=0.1898 | lr=3.00e-04 | pat=2/200 | 255s
  Epoch   19/1000 | train_loss=0.0157 | val_loss=0.0155 | rel_l2=0.1873 | best=0.1873 | lr=3.00e-04 | pat=0/200 | 269s
  Epoch   20/1000 | train_loss=0.0155 | val_loss=0.0154 | rel_l2=0.1906 | best=0.1873 | lr=3.00e-04 | pat=1/200 | 282s
  Epoch   21/1000 | train_loss=0.0154 | val_loss=0.0151 | rel_l2=0.1855 | best=0.1855 | lr=3.00e-04 | pat=0/200 | 296s
  Epoch   22/1000 | train_loss=0.0152 | val_loss=0.0150 | rel_l2=0.1849 | best=0.1849 | lr=3.00e-04 | pat=0/200 | 309s
  Epoch   23/1000 | train_loss=0.0151 | val_loss=0.0149 | rel_l2=0.1872 | best=0.1849 | lr=3.00e-04 | pat=1/200 | 322s
  Epoch   24/1000 | train_loss=0.0150 | val_loss=0.0149 | rel_l2=0.1840 | best=0.1840 | lr=3.00e-04 | pat=0/200 | 336s
  Epoch   25/1000 | train_loss=0.0149 | val_loss=0.0148 | rel_l2=0.1828 | best=0.1828 | lr=3.00e-04 | pat=0/200 | 349s
  Epoch   26/1000 | train_loss=0.0148 | val_loss=0.0150 | rel_l2=0.1895 | best=0.1828 | lr=3.00e-04 | pat=1/200 | 363s
  Epoch   27/1000 | train_loss=0.0148 | val_loss=0.0147 | rel_l2=0.1866 | best=0.1828 | lr=3.00e-04 | pat=2/200 | 376s
  Epoch   28/1000 | train_loss=0.0147 | val_loss=0.0145 | rel_l2=0.1835 | best=0.1828 | lr=3.00e-04 | pat=3/200 | 389s
  Epoch   29/1000 | train_loss=0.0146 | val_loss=0.0144 | rel_l2=0.1834 | best=0.1828 | lr=3.00e-04 | pat=4/200 | 403s
  Epoch   30/1000 | train_loss=0.0146 | val_loss=0.0144 | rel_l2=0.1825 | best=0.1825 | lr=3.00e-04 | pat=0/200 | 416s
  Epoch   31/1000 | train_loss=0.0145 | val_loss=0.0143 | rel_l2=0.1852 | best=0.1825 | lr=3.00e-04 | pat=1/200 | 429s
  Epoch   32/1000 | train_loss=0.0145 | val_loss=0.0145 | rel_l2=0.1861 | best=0.1825 | lr=3.00e-04 | pat=2/200 | 443s
  Epoch   33/1000 | train_loss=0.0144 | val_loss=0.0143 | rel_l2=0.1840 | best=0.1825 | lr=3.00e-04 | pat=3/200 | 456s
  Epoch   34/1000 | train_loss=0.0144 | val_loss=0.0141 | rel_l2=0.1809 | best=0.1809 | lr=3.00e-04 | pat=0/200 | 469s
  Epoch   35/1000 | train_loss=0.0143 | val_loss=0.0142 | rel_l2=0.1848 | best=0.1809 | lr=3.00e-04 | pat=1/200 | 482s
  Epoch   36/1000 | train_loss=0.0143 | val_loss=0.0142 | rel_l2=0.1862 | best=0.1809 | lr=2.99e-04 | pat=2/200 | 496s
  Epoch   37/1000 | train_loss=0.0142 | val_loss=0.0141 | rel_l2=0.1802 | best=0.1802 | lr=2.99e-04 | pat=0/200 | 509s
  Epoch   38/1000 | train_loss=0.0142 | val_loss=0.0139 | rel_l2=0.1801 | best=0.1801 | lr=2.99e-04 | pat=0/200 | 522s
  Epoch   39/1000 | train_loss=0.0141 | val_loss=0.0140 | rel_l2=0.1798 | best=0.1798 | lr=2.99e-04 | pat=0/200 | 535s
  Epoch   40/1000 | train_loss=0.0141 | val_loss=0.0139 | rel_l2=0.1783 | best=0.1783 | lr=2.99e-04 | pat=0/200 | 548s
  Epoch   41/1000 | train_loss=0.0141 | val_loss=0.0142 | rel_l2=0.1854 | best=0.1783 | lr=2.99e-04 | pat=1/200 | 561s
  Epoch   42/1000 | train_loss=0.0141 | val_loss=0.0138 | rel_l2=0.1778 | best=0.1778 | lr=2.99e-04 | pat=0/200 | 573s
  Epoch   43/1000 | train_loss=0.0140 | val_loss=0.0140 | rel_l2=0.1819 | best=0.1778 | lr=2.99e-04 | pat=1/200 | 586s
  Epoch   44/1000 | train_loss=0.0140 | val_loss=0.0137 | rel_l2=0.1782 | best=0.1778 | lr=2.99e-04 | pat=2/200 | 600s
  Epoch   45/1000 | train_loss=0.0140 | val_loss=0.0138 | rel_l2=0.1811 | best=0.1778 | lr=2.99e-04 | pat=3/200 | 614s
  Epoch   46/1000 | train_loss=0.0139 | val_loss=0.0139 | rel_l2=0.1824 | best=0.1778 | lr=2.99e-04 | pat=4/200 | 627s
  Epoch   47/1000 | train_loss=0.0139 | val_loss=0.0137 | rel_l2=0.1775 | best=0.1775 | lr=2.99e-04 | pat=0/200 | 639s
  Epoch   48/1000 | train_loss=0.0139 | val_loss=0.0139 | rel_l2=0.1838 | best=0.1775 | lr=2.99e-04 | pat=1/200 | 652s
  Epoch   49/1000 | train_loss=0.0139 | val_loss=0.0137 | rel_l2=0.1767 | best=0.1767 | lr=2.99e-04 | pat=0/200 | 665s
  Epoch   50/1000 | train_loss=0.0139 | val_loss=0.0136 | rel_l2=0.1759 | best=0.1759 | lr=2.99e-04 | pat=0/200 | 678s
  Epoch   51/1000 | train_loss=0.0138 | val_loss=0.0137 | rel_l2=0.1756 | best=0.1756 | lr=2.99e-04 | pat=0/200 | 691s
  Epoch   52/1000 | train_loss=0.0138 | val_loss=0.0138 | rel_l2=0.1817 | best=0.1756 | lr=2.99e-04 | pat=1/200 | 703s
  Epoch   53/1000 | train_loss=0.0138 | val_loss=0.0137 | rel_l2=0.1794 | best=0.1756 | lr=2.99e-04 | pat=2/200 | 716s
  Epoch   54/1000 | train_loss=0.0138 | val_loss=0.0137 | rel_l2=0.1802 | best=0.1756 | lr=2.99e-04 | pat=3/200 | 729s
  Epoch   55/1000 | train_loss=0.0138 | val_loss=0.0136 | rel_l2=0.1778 | best=0.1756 | lr=2.98e-04 | pat=4/200 | 742s
  Epoch   56/1000 | train_loss=0.0138 | val_loss=0.0136 | rel_l2=0.1799 | best=0.1756 | lr=2.98e-04 | pat=5/200 | 755s
  Epoch   57/1000 | train_loss=0.0137 | val_loss=0.0135 | rel_l2=0.1812 | best=0.1756 | lr=2.98e-04 | pat=6/200 | 769s
