=== SCPN Fusion Core — Neural Transport Training (QLKNN-10D) ===
Data:    /workspace/scpn-fusion-core/data/qlknn10d_processed
Output:  /workspace/scpn-fusion-core/weights/neural_transport_qlknn.npz
Arch:    auto -> 1024 -> 512 -> 256 -> 3
Epochs:  1000
LR:      0.0003
Batch:   8192

Data is GB-normalized (raw gyro-Bohm fluxes, no chi_gb multiplication)
Added derived features: ITG excess, TEM excess -> 14D input
  Base input includes Ti_Te (col 10) and Nustar (col 11)

Data loaded: train=(8999959, 14), val=(499997, 14), test=(499999, 14)
Y ranges: chi_e=[0.00, 498.56], chi_i=[0.00, 1058.84], D_e=[0.00, 88.38]

Training on GB-normalized targets (loss in GB space, eval in physical space)
Y train ranges: [0.000, 498.563], [0.000, 1058.839], [0.000, 88.383]

--- Training ---
JAX backend: GPU (cuda:0)
  Output scale (P90): [43.0489933  72.51943665  7.25205994]
  Output bias init: [-1.85643334 -2.03539171 -2.41128238] (target mean: [6.24915201 8.90352912 0.62297083])
  Channel-balanced MSE: inv_scale^2 = [0.0005396  0.00019015 0.01901416]
  Epoch    0/1000 | train_loss=0.0428 | val_loss=0.0277 | rel_l2=0.3823 | best=0.3823 | lr=3.00e-05 | pat=0/200 | 22s
  Epoch    1/1000 | train_loss=0.0223 | val_loss=0.0174 | rel_l2=0.2812 | best=0.2812 | lr=6.00e-05 | pat=0/200 | 37s
  Epoch    2/1000 | train_loss=0.0150 | val_loss=0.0129 | rel_l2=0.2273 | best=0.2273 | lr=9.00e-05 | pat=0/200 | 51s
  Epoch    3/1000 | train_loss=0.0121 | val_loss=0.0114 | rel_l2=0.2087 | best=0.2087 | lr=1.20e-04 | pat=0/200 | 65s
  Epoch    4/1000 | train_loss=0.0106 | val_loss=0.0102 | rel_l2=0.2010 | best=0.2010 | lr=1.50e-04 | pat=0/200 | 79s
  Epoch    5/1000 | train_loss=0.0097 | val_loss=0.0094 | rel_l2=0.1840 | best=0.1840 | lr=1.80e-04 | pat=0/200 | 93s
  Epoch    6/1000 | train_loss=0.0089 | val_loss=0.0091 | rel_l2=0.1798 | best=0.1798 | lr=2.10e-04 | pat=0/200 | 107s
  Epoch    7/1000 | train_loss=0.0083 | val_loss=0.0084 | rel_l2=0.1724 | best=0.1724 | lr=2.40e-04 | pat=0/200 | 121s
  Epoch    8/1000 | train_loss=0.0078 | val_loss=0.0077 | rel_l2=0.1570 | best=0.1570 | lr=2.70e-04 | pat=0/200 | 135s
  Epoch    9/1000 | train_loss=0.0074 | val_loss=0.0076 | rel_l2=0.1591 | best=0.1570 | lr=3.00e-04 | pat=1/200 | 149s
  Epoch   10/1000 | train_loss=0.0070 | val_loss=0.0070 | rel_l2=0.1434 | best=0.1434 | lr=3.00e-04 | pat=0/200 | 164s
  Epoch   11/1000 | train_loss=0.0067 | val_loss=0.0070 | rel_l2=0.1450 | best=0.1434 | lr=3.00e-04 | pat=1/200 | 178s
  Epoch   12/1000 | train_loss=0.0064 | val_loss=0.0065 | rel_l2=0.1434 | best=0.1434 | lr=3.00e-04 | pat=0/200 | 193s
  Epoch   13/1000 | train_loss=0.0061 | val_loss=0.0062 | rel_l2=0.1360 | best=0.1360 | lr=3.00e-04 | pat=0/200 | 208s
  Epoch   14/1000 | train_loss=0.0059 | val_loss=0.0061 | rel_l2=0.1382 | best=0.1360 | lr=3.00e-04 | pat=1/200 | 223s
